size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
3.27874130236922	#00C094	1.839	76.2213414634146	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
4.55195924886459	#A58AFF	6.559	47.5385609756098	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.87021016286758	#C49A00	1.59	76.620756097561	Albania	Albania	Europe & Central Asia	3	#C49A00
2.84503769435193	#C49A00	1.734	73.4959512195122	Armenia	Armenia	Europe & Central Asia	3	#C49A00
4.10025564754505	#FB61D7	5.736	49.8474146341463	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
5.0919759187802	#53B400	2.24	75.2925365853659	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.41632821889924	#C49A00	1.41	80.2341463414634	Austria	Austria	Europe & Central Asia	3	#C49A00
4.26960126806494	#F8766D	1.933	81.3951219512195	Australia	Australia	East Asia & Pacific	3	#F8766D
2.14419375293235	#53B400	1.726	74.6819268292683	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.45216649547919	#C49A00	1.9	70.0678536585366	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.96286470867059	#C49A00	1.168	75.1063170731708	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.25156845440081	#53B400	1.529	76.2643658536585	Barbados	Barbados	Latin America & Caribbean	3	#53B400
7.97198832073562	#A58AFF	2.356	68.0040243902439	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.6056184311044	#C49A00	1.86	79.6804878048781	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.87885136649022	#FB61D7	5.924	53.9824878048781	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.35424827553357	#C49A00	1.48	72.9634146341463	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.51515498446922	#00C094	2.595	74.7586097560976	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
3.44057368456672	#FB61D7	4.597	48.975756097561	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
3.46948372230689	#FB61D7	5.44	54.7873170731707	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.10998588225753	#00B6EB	1.7592	79.0038048780488	Bermuda	Bermuda	North America	3	#00B6EB
2.29982428152651	#F8766D	2.092	77.6622926829268	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
3.53846682131695	#53B400	3.475	65.6580975609756	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
8.79864764107333	#53B400	1.895	72.4270975609756	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.28342622752873	#53B400	1.888	74.6938536585366	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.40399044290246	#A58AFF	2.565	66.1513170731707	Bhutan	Bhutan	South Asia	3	#A58AFF
2.68006421217203	#FB61D7	2.857	52.6636829268293	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.51429686215341	#C49A00	1.42	70.4560975609756	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.25907876365771	#53B400	2.905	75.377512195122	Belize	Belize	Latin America & Caribbean	3	#53B400
4.83330416533754	#00B6EB	1.6808	80.9648780487805	Canada	Canada	North America	3	#00B6EB
5.76493559856512	#FB61D7	6.023	47.5573414634146	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
3.00258965319864	#FB61D7	4.81	46.163243902439	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.96477471847642	#FB61D7	4.625	56.1593414634146	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.35640742613297	#C49A00	1.48	81.9926829268293	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
4.09713169439805	#FB61D7	4.605	53.3777073170732	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
4.01333888616575	#53B400	1.889	78.6472195121951	Chile	Chile	Latin America & Caribbean	3	#53B400
4.17250082807195	#FB61D7	4.631	50.1609024390244	Cameroon	Cameroon	Sub-Saharan Africa	3	#FB61D7
19.8691223987584	#F8766D	1.629	72.8353414634146	China	China	East Asia & Pacific	3	#F8766D
5.29856625356015	#53B400	2.43	72.9843414634147	Colombia	Colombia	Latin America & Caribbean	3	#53B400
3.04354035983603	#53B400	1.91	78.9462682926829	Costa Rica	Costa Rica	Latin America & Caribbean	3	#53B400
3.64904772750632	#53B400	1.499	78.5474146341463	Cuba	Cuba	Latin America & Caribbean	3	#53B400
2.33643469593226	#FB61D7	2.561	73.3361951219512	Cape Verde	Cape Verde	Sub-Saharan Africa	3	#FB61D7
2.17440815014706	#53B400	2.2	75.309756097561	Curacao	Curacao	Latin America & Caribbean	3	#53B400
2.50596044279956	#C49A00	1.493	79.0214634146342	Cyprus	Cyprus	Europe & Central Asia	3	#C49A00
3.58403204309205	#C49A00	1.5	76.9756097560976	Czech Republic	Czech Republic	Europe & Central Asia	3	#C49A00
6.44849063239155	#C49A00	1.38	79.7365853658537	Germany	Germany	Europe & Central Asia	3	#C49A00
2.43776483708618	#00C094	3.912	56.7550975609756	Djibouti	Djibouti	Middle East & North Africa	3	#00C094
3.14917562844042	#C49A00	1.89	78.4463414634146	Denmark	Denmark	Europe & Central Asia	3	#C49A00
3.5318796537047	#53B400	2.651	72.7289512195122	Dominican Republic	Dominican Republic	Latin America & Caribbean	3	#53B400
4.93393833707539	#00C094	2.348	72.3890487804878	Algeria	Algeria	Middle East & North Africa	3	#00C094
3.86938202906287	#53B400	2.557	75.1505853658537	Ecuador	Ecuador	Latin America & Caribbean	3	#53B400
2.565273023264	#C49A00	1.65	73.7707317073171	Estonia	Estonia	Europe & Central Asia	3	#C49A00
6.26541350903564	#00C094	2.825	72.4754390243903	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa	3	#00C094
3.1374258581674	#FB61D7	4.636	60.1052682926829	Eritrea	Eritrea	Sub-Saharan Africa	3	#FB61D7
5.31324696209504	#C49A00	1.46	81.1756097560976	Spain	Spain	Europe & Central Asia	3	#C49A00
6.46231647159436	#FB61D7	4.522	57.4507804878049	Ethiopia	Ethiopia	Sub-Saharan Africa	3	#FB61D7
3.13011590746994	#C49A00	1.85	79.5682926829268	Finland	Finland	Europe & Central Asia	3	#C49A00
2.44696057855026	#F8766D	2.735	68.9715853658537	Fiji	Fiji	East Asia & Pacific	3	#F8766D
2.1468063781569	#F8766D	3.587	68.402756097561	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific	3	#F8766D
5.93866334078043	#C49A00	2.01	80.8682926829268	France	France	Europe & Central Asia	3	#C49A00
2.59481367137299	#FB61D7	3.33	61.3811219512195	Gabon	Gabon	Sub-Saharan Africa	3	#FB61D7
5.84646867876912	#C49A00	1.96	79.6	United Kingdom	United Kingdom	Europe & Central Asia	3	#C49A00
2.14634096454529	#53B400	2.28	75.3217804878049	Grenada	Grenada	Latin America & Caribbean	3	#53B400
3.02619752684979	#C49A00	1.568	72.9846341463415	Georgia	Georgia	Europe & Central Asia	3	#C49A00
4.35946619284312	#FB61D7	4.297	62.8735121951219	Ghana	Ghana	Sub-Saharan Africa	3	#FB61D7
2.09970303265626	#C49A00	2.247	68.3541463414634	Greenland	Greenland	Europe & Central Asia	3	#C49A00
2.61378914914955	#FB61D7	5.056	57.524243902439	Gambia, The	Gambia, The	Sub-Saharan Africa	3	#FB61D7
3.57566632344631	#FB61D7	5.407	52.687243902439	Guinea	Guinea	Sub-Saharan Africa	3	#FB61D7
2.39367530949248	#FB61D7	5.328	50.2472195121951	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa	3	#FB61D7
3.64471076333032	#C49A00	1.51	79.9390243902439	Greece	Greece	Europe & Central Asia	3	#C49A00
3.81281503833701	#53B400	4.122	70.3523414634146	Guatemala	Guatemala	Latin America & Caribbean	3	#53B400
2.18580511116356	#F8766D	2.524	75.6378048780488	Guam	Guam	East Asia & Pacific	3	#F8766D
2.60167897786782	#FB61D7	5.222	46.9592682926829	Guinea-Bissau	Guinea-Bissau	Sub-Saharan Africa	3	#FB61D7
2.42820007636696	#53B400	2.315	68.7992195121951	Guyana	Guyana	Latin America & Caribbean	3	#53B400
3.29365612586037	#F8766D	1.064	82.3756097560976	Hong Kong SAR, China	Hong Kong SAR, China	East Asia & Pacific	3	#F8766D
3.32718709567374	#53B400	3.269	72.2409756097561	Honduras	Honduras	Latin America & Caribbean	3	#53B400
3.032076603369	#C49A00	1.47	75.9121951219512	Croatia	Croatia	Europe & Central Asia	3	#C49A00
3.52304696078818	#53B400	3.497	61.0747804878049	Haiti	Haiti	Latin America & Caribbean	3	#53B400
3.55437325695071	#C49A00	1.35	73.7024390243903	Hungary	Hungary	Europe & Central Asia	3	#C49A00
9.514050015204	#F8766D	2.176	68.0751463414634	Indonesia	Indonesia	East Asia & Pacific	3	#F8766D
3.03110489066867	#C49A00	2.1	79.1414634146342	Ireland	Ireland	Europe & Central Asia	3	#C49A00
3.32595437682146	#00C094	2.96	80.9512195121951	Israel	Israel	Middle East & North Africa	3	#00C094
18.8270520392804	#A58AFF	2.702	64.4229512195122	India	India	South Asia	3	#A58AFF
4.6627893579666	#00C094	4.828	67.8711219512195	Iraq	Iraq	Middle East & North Africa	3	#00C094
6.18465399979052	#00C094	1.731	72.2196585365854	Iran, Islamic Rep.	Iran, Islamic Rep.	Middle East & North Africa	3	#00C094
2.26995497555275	#C49A00	2.15	81.609756097561	Iceland	Iceland	Europe & Central Asia	3	#C49A00
5.79723037608464	#C49A00	1.42	81.3853658536585	Italy	Italy	Europe & Central Asia	3	#C49A00
2.185314071013	#C49A00	1.431	79.4984634146342	Channel Islands	Channel Islands	Europe & Central Asia	3	#C49A00
2.8025674705326	#53B400	2.385	72.3230243902439	Jamaica	Jamaica	Latin America & Caribbean	3	#53B400
3.17944174183479	#00C094	3.8	73.0162195121951	Jordan	Jordan	Middle East & North Africa	3	#00C094
7.54792990256439	#F8766D	1.37	82.5875609756098	Japan	Japan	East Asia & Pacific	3	#F8766D
5.05658190740958	#FB61D7	4.792	55.1242195121951	Kenya	Kenya	Sub-Saharan Africa	3	#FB61D7
3.13068111097145	#C49A00	2.8	68.4512195121951	Kyrgyz Republic	Kyrgyz Republic	Europe & Central Asia	3	#C49A00
3.83213975014574	#F8766D	2.745	61.5808536585366	Cambodia	Cambodia	East Asia & Pacific	3	#F8766D
2.39099221405506	#FB61D7	5.051	59.8611707317073	Comoros	Comoros	Sub-Saharan Africa	3	#FB61D7
4.41668642698181	#F8766D	2.038	68.3740975609756	Korea, Dem. Rep.	Korea, Dem. Rep.	East Asia & Pacific	3	#F8766D
5.43446638050394	#F8766D	1.192	79.8326829268293	Korea, Rep.	Korea, Rep.	East Asia & Pacific	3	#F8766D
2.64619725106622	#C49A00	2.3835	69.4180487804878	Kosovo	Kosovo	Europe & Central Asia	3	#C49A00
2.80482008493072	#00C094	2.29	74.3782926829268	Kuwait	Kuwait	Middle East & North Africa	3	#00C094
3.94283120179589	#C49A00	2.7	67.0219512195122	Kazakhstan	Kazakhstan	Europe & Central Asia	3	#C49A00
3.21499151227901	#F8766D	2.946	66.1843902439024	Lao PDR	Lao PDR	East Asia & Pacific	3	#F8766D
3.00270769649242	#00C094	1.84	72.0473170731707	Lebanon	Lebanon	Middle East & North Africa	3	#00C094
2.19493705739648	#53B400	2.014	73.9991951219512	St. Lucia	St. Lucia	Latin America & Caribbean	3	#53B400
4.20673677406513	#A58AFF	2.346	74.433268292683	Sri Lanka	Sri Lanka	South Asia	3	#A58AFF
2.93897470759345	#FB61D7	5.382	54.7276341463415	Liberia	Liberia	Sub-Saharan Africa	3	#FB61D7
2.68685003325956	#FB61D7	3.333	45.9315609756098	Lesotho	Lesotho	Sub-Saharan Africa	3	#FB61D7
