x	y	label	key	showSelected1	PANEL
2.77	74.3887317073171	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.847	45.0098536585366	Afghanistan	Afghanistan	Afghanistan	3
2.33	73.7218292682927	Albania	Albania	Albania	3
1.712	70.4924878048781	Armenia	Armenia	Armenia	3
6.882	44.4390975609756	Angola	Angola	Angola	3
2.535	73.5034634146342	Argentina	Argentina	Argentina	3
1.34	77.7756097560976	Austria	Austria	Austria	3
1.755	78.9317073170732	Australia	Australia	Australia	3
1.905	73.6753902439025	Aruba	Aruba	Aruba	3
2.07	66.3554878048781	Azerbaijan	Azerbaijan	Azerbaijan	3
1.454	73.714	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.585	75.3094146341464	Barbados	Barbados	Barbados	3
3.231	64.2339024390244	Bangladesh	Bangladesh	Bangladesh	3
1.62	77.619512195122	Belgium	Belgium	Belgium	3
6.314	49.8854878048781	Burkina Faso	Burkina Faso	Burkina Faso	3
1.23	71.4121951219512	Bulgaria	Bulgaria	Bulgaria	3
2.775	73.6713658536585	Bahrain	Bahrain	Bahrain	3
5.904	45.6705609756098	Burundi	Burundi	Burundi	3
6.041	52.291756097561	Benin	Benin	Benin	3
2.477	75.9883414634146	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
4.219	62.6008780487805	Bolivia	Bolivia	Bolivia	3
2.399	69.8144634146341	Brazil	Brazil	Brazil	3
2.165	71.3034390243903	Bahamas, The	Bahamas, The	Bahamas, The	3
3.855	60.4560975609756	Bhutan	Bhutan	Bhutan	3
3.519	52.1589512195122	Botswana	Botswana	Botswana	3
1.31	67.9073170731707	Belarus	Belarus	Belarus	3
3.696	73.4443170731708	Belize	Belize	Belize	3
1.51	78.8829268292683	Canada	Canada	Canada	3
6.974	45.4424146341463	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.488	43.9533414634146	Central African Republic	Central African Republic	Central African Republic	3
4.964	54.1409024390244	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.48	79.580487804878	Switzerland	Switzerland	Switzerland	3
5.22	50.1789024390244	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
2.135	76.4228292682927	Chile	Chile	Chile	3
5.03	50.406512195122	Cameroon	Cameroon	Cameroon	3
1.755	71.0833902439025	China	China	China	3
2.682	70.7118292682927	Colombia	Colombia	Colombia	3
2.481	77.6227317073171	Costa Rica	Costa Rica	Costa Rica	3
1.621	76.158	Cuba	Cuba	Cuba	3
3.876	68.9563902439024	Cape Verde	Cape Verde	Cape Verde	3
1.781	77.823512195122	Cyprus	Cyprus	Cyprus	3
1.13	74.6682926829268	Czech Republic	Czech Republic	Czech Republic	3
1.36	77.7268292682927	Germany	Germany	Germany	3
4.926	53.5894146341464	Djibouti	Djibouti	Djibouti	3
1.73	76.3414634146341	Denmark	Denmark	Denmark	3
2.926	70.6308292682927	Dominican Republic	Dominican Republic	Dominican Republic	3
2.715	69.6730487804878	Algeria	Algeria	Algeria	3
3.007	73.0061463414634	Ecuador	Ecuador	Ecuador	3
1.32	70.0634146341463	Estonia	Estonia	Estonia	3
3.382	68.4493658536585	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
5.526	55.4075853658537	Eritrea	Eritrea	Eritrea	3
1.19	78.7170731707317	Spain	Spain	Spain	3
6.253	51.1929268292683	Ethiopia	Ethiopia	Ethiopia	3
1.73	77.2912195121951	Finland	Finland	Finland	3
3.132	67.4201219512195	Fiji	Fiji	Fiji	3
4.39	67.1726341463415	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
1.81	78.6073170731707	France	France	France	3
4.181	59.9720487804878	Gabon	Gabon	Gabon	3
1.68	77.390243902439	United Kingdom	United Kingdom	United Kingdom	3
2.666	73.0774634146342	Grenada	Grenada	Grenada	3
1.659	71.2931951219512	Georgia	Georgia	Georgia	3
4.716	58.1348048780488	Ghana	Ghana	Ghana	3
2.34	65.4390243902439	Greenland	Greenland	Greenland	3
5.708	54.8450731707317	Gambia, The	Gambia, The	Gambia, The	3
6.07	47.522	Guinea	Guinea	Guinea	3
5.814	48.6409512195122	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
1.24	77.9878048780488	Greece	Greece	Greece	3
4.884	67.2181219512195	Guatemala	Guatemala	Guatemala	3
2.927	73.9679512195122	Guam	Guam	Guam	3
5.93	44.6193658536585	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
2.479	63.9464390243903	Guyana	Guyana	Guyana	3
0.982	80.3829268292683	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	3
4.116	70.1256829268293	Honduras	Honduras	Honduras	3
1.38	72.6419512195122	Croatia	Croatia	Croatia	3
4.426	58.1718536585366	Haiti	Haiti	Haiti	3
1.28	70.6770731707317	Hungary	Hungary	Hungary	3
2.489	65.3307073170732	Indonesia	Indonesia	Indonesia	3
1.9	76.0736585365854	Ireland	Ireland	Ireland	3
2.965	78.6585365853659	Israel	Israel	Israel	3
3.194	61.2558780487805	India	India	India	3
5.31	70.9688780487805	Iraq	Iraq	Iraq	3
2.352	69.4518292682927	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	3
1.99	79.3512195121951	Iceland	Iceland	Iceland	3
1.23	78.8268292682927	Italy	Italy	Italy	3
1.402	77.2779268292683	Channel Islands	Channel Islands	Channel Islands	3
2.629	70.3762682926829	Jamaica	Jamaica	Jamaica	3
4.076	71.9533170731707	Jordan	Jordan	Jordan	3
1.342	80.5707317073171	Japan	Japan	Japan	3
5.03	52.8132195121951	Kenya	Kenya	Kenya	3
2.629	67.0024390243903	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	3
4.017	57.0888292682927	Cambodia	Cambodia	Cambodia	3
5.306	57.6450975609756	Comoros	Comoros	Comoros	3
2.144	64.5495609756098	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	3
1.42	75.3734146341463	Korea, Rep.	Korea, Rep.	Korea, Rep.	3
2.8781	66.9512195121951	Kosovo	Kosovo	Kosovo	3
2.714	73.6697073170732	Kuwait	Kuwait	Kuwait	3
1.7	65.519512195122	Kazakhstan	Kazakhstan	Kazakhstan	3
4.457	60.8110731707317	Lao PDR	Lao PDR	Lao PDR	3
2.503	70.4836829268293	Lebanon	Lebanon	Lebanon	3
2.1	71.3048780487805	St. Lucia	St. Lucia	St. Lucia	3
2.176	70.2517073170732	Sri Lanka	Sri Lanka	Sri Lanka	3
5.91	44.888756097561	Liberia	Liberia	Liberia	3
4.2	49.3578292682927	Lesotho	Lesotho	Lesotho	3
1.46	71.5707317073171	Lithuania	Lithuania	Lithuania	3
1.74	77.7707317073171	Luxembourg	Luxembourg	Luxembourg	3
1.16	69.7429268292683	Latvia	Latvia	Latvia	3
3.135	72.2628536585366	Libya	Libya	Libya	3
2.798	68.2839024390244	Morocco	Morocco	Morocco	3
1.613	66.7269756097561	Moldova	Moldova	Moldova	3
1.825	75.1070487804878	Montenegro	Montenegro	Montenegro	3
5.651	58.7162926829268	Madagascar	Madagascar	Madagascar	3
5.71	67.5048780487805	Marshall Islands	Marshall Islands	Marshall Islands	3
1.72	72.7442195121951	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	3
6.841	46.9383902439024	Mali	Mali	Mali	3
2.507	61.5871463414634	Myanmar	Myanmar	Myanmar	3
2.29	62.616512195122	Mongolia	Mongolia	Mongolia	3
0.991	78.3155609756098	Macao SAR, China	Macao SAR, China	Macao SAR, China	3
5.291	56.9314146341464	Mauritania	Mauritania	Mauritania	3
1.77	77.1487804878049	Malta	Malta	Malta	3
2.05	70.9609756097561	Mauritius	Mauritius	Mauritius	3
3.146	69.3642195121951	Maldives	Maldives	Maldives	3
6.13	45.9636829268293	Malawi	Malawi	Malawi	3
2.615	74.013243902439	Mexico	Mexico	Mexico	3
3.11	71.9563414634146	Malaysia	Malaysia	Malaysia	3
5.758	47.0209756097561	Mozambique	Mozambique	Mozambique	3
4.134	58.2058536585366	Namibia	Namibia	Namibia	3
2.6533333333	73.8756097560976	New Caledonia	New Caledonia	New Caledonia	3
7.545	47.5220243902439	Niger	Niger	Niger	3
5.922	45.8295365853659	Nigeria	Nigeria	Nigeria	3
3.384	69.1685365853659	Nicaragua	Nicaragua	Nicaragua	3
1.65	77.8365853658537	Netherlands	Netherlands	Netherlands	3
1.85	78.2829268292683	Norway	Norway	Norway	3
4.224	60.7158048780488	Nepal	Nepal	Nepal	3
1.94	77.890243902439	New Zealand	New Zealand	New Zealand	3
3.943	73.9382682926829	Oman	Oman	Oman	3
2.764	74.0309024390244	Panama	Panama	Panama	3
2.993	69.9989268292683	Peru	Peru	Peru	3
2.509	72.0825365853659	French Polynesia	French Polynesia	French Polynesia	3
4.557	58.4848780487805	Papua New Guinea	Papua New Guinea	Papua New Guinea	3
3.852	66.6480243902439	Philippines	Philippines	Philippines	3
4.669	62.9525365853659	Pakistan	Pakistan	Pakistan	3
1.37	73.0439024390244	Poland	Poland	Poland	3
1.97425	75.731	Puerto Rico	Puerto Rico	Puerto Rico	3
5.535	70.7060487804878	West Bank and Gaza	West Bank and Gaza	West Bank and Gaza	3
1.5	75.9634146341463	Portugal	Portugal	Portugal	3
3.758	69.7825365853659	Paraguay	Paraguay	Paraguay	3
3.219	76.1070731707317	Qatar	Qatar	Qatar	3
1.3	70.5121951219512	Romania	Romania	Romania	3
1.17	66.0436585365854	Russian Federation	Russian Federation	Russian Federation	3
5.852	44.2348048780488	Rwanda	Rwanda	Rwanda	3
4.187	71.2890731707317	Saudi Arabia	Saudi Arabia	Saudi Arabia	3
4.789	62.1908780487805	Solomon Islands	Solomon Islands	Solomon Islands	3
5.413	56.3422682926829	Sudan	Sudan	Sudan	3
1.5	79.4414634146342	Sweden	Sweden	Sweden	3
1.475	77.5512195121951	Singapore	Singapore	Singapore	3
1.21	75.009756097561	Slovenia	Slovenia	Slovenia	3
1.33	72.9024390243902	Slovak Republic	Slovak Republic	Slovak Republic	3
5.776	38.9746829268293	Sierra Leone	Sierra Leone	Sierra Leone	3
5.634	55.4311219512195	Senegal	Senegal	Senegal	3
6.504	47.6993414634146	Somalia	Somalia	Somalia	3
2.751	67.8926341463415	Suriname	Suriname	Suriname	3
4.665	62.2175365853659	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	3
3.07	69.533243902439	El Salvador	El Salvador	El Salvador	3
3.75	73.8162195121951	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	3
4.326	50.1620731707317	Swaziland	Swaziland	Swaziland	3
6.617	48.7388292682927	Chad	Chad	Chad	3
5.215	54.6672926829268	Togo	Togo	Togo	3
1.73	72.4094634146341	Thailand	Thailand	Thailand	3
4.13	63.4207073170732	Tajikistan	Tajikistan	Tajikistan	3
7.079	55.2896585365854	Timor-Leste	Timor-Leste	Timor-Leste	3
2.914	63.7454634146342	Turkmenistan	Turkmenistan	Turkmenistan	3
2.09	72.5	Tunisia	Tunisia	Tunisia	3
4.27	70.6250731707317	Tonga	Tonga	Tonga	3
2.452	68.7947317073171	Turkey	Turkey	Turkey	3
1.664	68.5199756097561	Trinidad and Tobago	Trinidad and Tobago	Trinidad and Tobago	3
5.711	50.0409756097561	Tanzania	Tanzania	Tanzania	3
1.2	68.1939024390244	Ukraine	Ukraine	Ukraine	3
6.903	45.5481463414634	Uganda	Uganda	Uganda	3
2.0075	76.5829268292683	United States	United States	United States	3
2.25	74.1539024390244	Uruguay	Uruguay	Uruguay	3
2.72	66.8443170731707	Uzbekistan	Uzbekistan	Uzbekistan	3
2.442	70.2980731707317	St. Vincent and the Grenadines	St. Vincent and the Grenadines	St. Vincent and the Grenadines	3
2.85	72.8641463414634	Venezuela, RB	Venezuela, RB	Venezuela, RB	3
2.372	77.3061707317073	Virgin Islands (U.S.)	Virgin Islands (U.S.)	Virgin Islands (U.S.)	3
2.055	71.4826097560976	Vietnam	Vietnam	Vietnam	3
4.507	67.1598292682927	Vanuatu	Vanuatu	Vanuatu	3
4.607	69.1370487804878	Samoa	Samoa	Samoa	3
6.682	59.1194878048781	Yemen, Rep.	Yemen, Rep.	Yemen, Rep.	3
2.899	55.8925365853659	South Africa	South Africa	South Africa	3
6.152	42.0212195121951	Zambia	Zambia	Zambia	3
3.932	45.8474878048781	Zimbabwe	Zimbabwe	Zimbabwe	3
