size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.4686180109556	#00C094	5.517	68.2474634146342	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
3.78661813069612	#A58AFF	7.725	38.8618536585366	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.80006646707654	#C49A00	4.099	69.3770731707317	Albania	Albania	Europe & Central Asia	3	#C49A00
2.85455101053392	#C49A00	2.421	70.6352926829268	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.33414653154904	#FB61D7	7.197	40.0089756097561	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.58337198863027	#53B400	3.368	69.1794390243903	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.34764901317487	#C49A00	1.6	72.2873170731708	Austria	Austria	Europe & Central Asia	3	#C49A00
3.86948505471208	#F8766D	1.907	74.0039024390244	Australia	Australia	East Asia & Pacific	3	#F8766D
2.10402177757499	#53B400	2.408	71.9528536585366	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.20796819134386	#C49A00	3.407	64.7279512195122	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.98765859931308	#C49A00	2.144	70.0324146341463	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.23699427653417	#53B400	2.057	71.6823902439024	Barbados	Barbados	Latin America & Caribbean	3	#53B400
6.39757977486413	#A58AFF	6.497	54.0466341463415	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.53958544101662	#C49A00	1.689	73.1936585365854	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.26671687823426	#FB61D7	7.053	45.8301463414634	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.45734788187539	#C49A00	2.15	71.3082926829268	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.28107293606496	#00C094	5.036	69.4530731707317	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
2.98239956410296	#FB61D7	6.705	46.4671219512195	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
2.93199106318753	#FB61D7	7.018	44.868512195122	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.20343493811809	#F8766D	4.429	70.3926829268293	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
3.12266561268164	#53B400	5.634	51.1849268292683	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
7.35379518786471	#53B400	4.169	62.0954390243902	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.21454233339655	#53B400	2.99	67.4533658536586	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.30482114552152	#A58AFF	6.601	45.7233902439024	Bhutan	Bhutan	South Asia	3	#A58AFF
2.47745795454042	#FB61D7	6.291	59.9385609756098	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.51874745517034	#C49A00	2.05	70.4017073170732	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.17442818955509	#53B400	5.992	69.805756097561	Belize	Belize	Latin America & Caribbean	3	#53B400
4.41833693160585	#00B6EB	1.754	74.8663414634146	Canada	Canada	North America	3	#00B6EB
4.48586592117321	#FB61D7	6.535	45.6846585365854	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
2.72804434899149	#FB61D7	5.954	48.3547804878049	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.64573807477972	#FB61D7	6.231	56.0052926829268	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.23029452649978	#C49A00	1.505	75.4660975609756	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
3.37967735989812	#FB61D7	7.701	50.8107804878049	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
3.62955879359179	#53B400	2.718	68.4757317073171	Chile	Chile	Latin America & Caribbean	3	#53B400
3.44469964920347	#FB61D7	6.428	50.7484634146342	Cameroon	Cameroon	Sub-Saharan Africa	3	#FB61D7
17.2831872185737	#F8766D	2.736	66.7389268292683	China	China	East Asia & Pacific	3	#F8766D
4.51839701609972	#53B400	4.121	64.8772195121951	Colombia	Colombia	Latin America & Caribbean	3	#53B400
2.73955471361931	#53B400	3.665	71.9839756097561	Costa Rica	Costa Rica	Latin America & Caribbean	3	#53B400
3.53391779204823	#53B400	1.987	73.3161219512195	Cuba	Cuba	Latin America & Caribbean	3	#53B400
2.26304408615665	#FB61D7	6.473	59.2298292682927	Cape Verde	Cape Verde	Sub-Saharan Africa	3	#FB61D7
2.40035043987749	#C49A00	2.328	74.5514878048781	Cyprus	Cyprus	Europe & Central Asia	3	#C49A00
3.57395680077343	#C49A00	2.27	70.749512195122	Czech Republic	Czech Republic	Europe & Central Asia	3	#C49A00
6.33921460978965	#C49A00	1.38	72.5423658536585	Germany	Germany	Europe & Central Asia	3	#C49A00
2.27833670740332	#00C094	6.729	47.387243902439	Djibouti	Djibouti	Middle East & North Africa	3	#00C094
3.10895079035157	#C49A00	1.602	74.2192682926829	Denmark	Denmark	Europe & Central Asia	3	#C49A00
3.16974681784548	#53B400	4.552	62.6318292682927	Dominican Republic	Dominican Republic	Latin America & Caribbean	3	#53B400
4.13272889332522	#00C094	7.035	58.9140731707317	Algeria	Algeria	Middle East & North Africa	3	#00C094
3.36174784229063	#53B400	5.198	62.3059512195122	Ecuador	Ecuador	Latin America & Caribbean	3	#53B400
2.59186624863215	#C49A00	2.009	69.1132682926829	Estonia	Estonia	Europe & Central Asia	3	#C49A00
5.25436198582122	#00C094	5.418	55.5565365853659	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa	3	#00C094
2.74810780169926	#FB61D7	6.51	44.0823414634146	Eritrea	Eritrea	Sub-Saharan Africa	3	#FB61D7
4.99394788658013	#C49A00	2.341	74.8187804878049	Spain	Spain	Europe & Central Asia	3	#C49A00
4.88610823175628	#FB61D7	6.807	44.093512195122	Ethiopia	Ethiopia	Sub-Saharan Africa	3	#FB61D7
3.06999776192553	#C49A00	1.642	73.1553658536586	Finland	Finland	Europe & Central Asia	3	#C49A00
2.38234119190033	#F8766D	3.941	62.7176585365854	Fiji	Fiji	East Asia & Pacific	3	#F8766D
2.11562404363856	#F8766D	6.311	65.0365853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific	3	#F8766D
5.64005917437343	#C49A00	1.87	73.8512195121951	France	France	Europe & Central Asia	3	#C49A00
2.40901099187315	#FB61D7	5.149	54.0018780487805	Gabon	Gabon	Sub-Saharan Africa	3	#FB61D7
5.6816757575452	#C49A00	1.86	73.2756097560976	United Kingdom	United Kingdom	Europe & Central Asia	3	#C49A00
2.13308980530016	#53B400	4.269	64.9200975609756	Grenada	Grenada	Latin America & Caribbean	3	#53B400
3.03163274575299	#C49A00	2.343	69.3270487804878	Georgia	Georgia	Europe & Central Asia	3	#C49A00
3.59365477223677	#FB61D7	6.605	52.785512195122	Ghana	Ghana	Sub-Saharan Africa	3	#FB61D7
