x	y	label	key	showSelected1	PANEL
6.861	56.066243902439	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.7	32.5910487804878	Afghanistan	Afghanistan	Afghanistan	3
5.586	65.4376829268293	Albania	Albania	Albania	3
4.161	67.5580975609756	Armenia	Armenia	Armenia	3
7.425	34.5883170731707	Angola	Angola	Angola	3
3.068	65.5390731707317	Argentina	Argentina	Argentina	3
2.77	69.9219512195122	Austria	Austria	Austria	3
3.146	70.8809756097561	Australia	Australia	Australia	3
4.059	67.0442926829268	Aruba	Aruba	Aruba	3
5.468	62.4574146341463	Azerbaijan	Azerbaijan	Azerbaijan	3
3.619	62.705756097561	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
4.094	66.4747073170732	Barbados	Barbados	Barbados	3
6.846	49.9818536585366	Bangladesh	Bangladesh	Bangladesh	3
2.712	70.7551219512195	Belgium	Belgium	Belgium	3
6.414	37.8664878048781	Burkina Faso	Burkina Faso	Burkina Faso	3
2.19	71.1212195121951	Bulgaria	Bulgaria	Bulgaria	3
7.192	57.3574146341464	Bahrain	Bahrain	Bahrain	3
6.801	42.5067073170732	Burundi	Burundi	Burundi	3
6.497	36.7753170731707	Benin	Benin	Benin	3
6.227	64.4106097560976	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
6.607	43.903512195122	Bolivia	Bolivia	Bolivia	3
5.953	56.2676341463415	Brazil	Brazil	Brazil	3
4.22	64.6497073170732	Bahamas, The	Bahamas, The	Bahamas, The	3
6.67	38.1816829268293	Bhutan	Bhutan	Bhutan	3
6.681	51.921756097561	Botswana	Botswana	Botswana	3
2.31	69.2564390243903	Belarus	Belarus	Belarus	3
6.42	62.9436097560976	Belize	Belize	Belize	3
3.456	71.7763414634146	Canada	Canada	Canada	3
6.067	41.918	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.925	38.2253658536585	Central African Republic	Central African Republic	Central African Republic	3
6.056	50.9404390243903	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
2.852	72.0778048780488	Switzerland	Switzerland	Switzerland	3
7.639	41.1034146341463	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
5.185	58.7809512195122	Chile	Chile	Chile	3
