size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
3.42520250872178	#00C094	1.749	76.5736097560976	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
4.6156602650049	#A58AFF	6.288	48.2821951219512	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.86931428954884	#C49A00	1.536	76.9009512195122	Albania	Albania	Europe & Central Asia	3	#C49A00
2.84303969172127	#C49A00	1.736	73.7835609756098	Armenia	Armenia	Europe & Central Asia	3	#C49A00
4.1699527951741	#FB61D7	5.443	50.6536585365854	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
5.11907078183204	#53B400	2.211	75.6321463414634	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.42081805808322	#C49A00	1.44	80.3829268292683	Austria	Austria	Europe & Central Asia	3	#C49A00
4.30547639731898	#F8766D	1.87	81.6951219512195	Australia	Australia	East Asia & Pacific	3	#F8766D
2.14440507000068	#53B400	1.699	74.9751707317073	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.47611548580665	#C49A00	1.92	70.5065121951219	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.96095115333557	#C49A00	1.148	75.4004390243903	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.25288825518682	#53B400	1.551	76.5728292682927	Barbados	Barbados	Latin America & Caribbean	3	#53B400
8.03533613732212	#A58AFF	2.245	68.6348048780488	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.61949149795599	#C49A00	1.84	80.2341463414634	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.93451827813068	#FB61D7	5.85	54.9241951219512	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.34629466221783	#C49A00	1.49	73.5121951219512	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.5459313305854	#00C094	2.54	75.0238292682927	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
3.4906124431247	#FB61D7	4.338	49.8772195121951	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
3.51284744099395	#FB61D7	5.287	55.5855853658537	Benin	Benin	Sub-Saharan Africa	3	#FB61D7
2.10982248277994	#00B6EB	1.764	79.2885365853658	Bermuda	Bermuda	North America	3	#00B6EB
2.30482826258698	#F8766D	2.042	77.9320243902439	Brunei Darussalam	Brunei Darussalam	East Asia & Pacific	3	#F8766D
3.56352798904997	#53B400	3.348	66.2685609756098	Bolivia	Bolivia	Latin America & Caribbean	3	#53B400
8.85944095860691	#53B400	1.83	73.0995365853658	Brazil	Brazil	Latin America & Caribbean	3	#53B400
2.28855003432234	#53B400	1.896	75.2221219512195	Bahamas, The	Bahamas, The	Latin America & Caribbean	3	#53B400
2.41131680885786	#A58AFF	2.399	66.9088536585366	Bhutan	Bhutan	South Asia	3	#A58AFF
2.68634834082136	#FB61D7	2.75	53.109512195122	Botswana	Botswana	Sub-Saharan Africa	3	#FB61D7
3.51126935243498	#C49A00	1.44	70.4048780487805	Belarus	Belarus	Europe & Central Asia	3	#C49A00
2.26598846150492	#53B400	2.79	75.8399512195122	Belize	Belize	Latin America & Caribbean	3	#53B400
4.86750673669124	#00B6EB	1.6269	80.7978048780488	Canada	Canada	North America	3	#00B6EB
5.8713812873371	#FB61D7	5.775	48.0695853658537	Congo, Dem. Rep.	Congo, Dem. Rep.	Sub-Saharan Africa	3	#FB61D7
3.02221074315374	#FB61D7	4.631	47.6184634146341	Central African Republic	Central African Republic	Sub-Saharan Africa	3	#FB61D7
2.99372785613097	#FB61D7	4.544	56.9601951219512	Congo, Rep.	Congo, Rep.	Sub-Saharan Africa	3	#FB61D7
3.37206541626361	#C49A00	1.52	82.2463414634147	Switzerland	Switzerland	Europe & Central Asia	3	#C49A00
4.1379160090216	#FB61D7	4.432	54.7415609756098	Cote d'Ivoire	Cote d'Ivoire	Sub-Saharan Africa	3	#FB61D7
4.03237976939591	#53B400	1.862	78.8857317073171	Chile	Chile	Latin America & Caribbean	3	#53B400
4.22887360649655	#FB61D7	4.487	51.062756097561	Cameroon	Cameroon	Sub-Saharan Africa	3	#FB61D7
19.9569275904463	#F8766D	1.598	73.2730975609756	China	China	East Asia & Pacific	3	#F8766D
5.34543261417808	#53B400	2.1	73.4296829268293	Colombia	Colombia	Latin America & Caribbean	3	#53B400
3.05924226571427	#53B400	1.848	79.1926097560976	Costa Rica	Costa Rica	Latin America & Caribbean	3	#53B400
3.64798124968047	#53B400	1.467	78.9641463414634	Cuba	Cuba	Latin America & Caribbean	3	#53B400
2.33748985842955	#FB61D7	2.405	73.7740487804878	Cape Verde	Cape Verde	Sub-Saharan Africa	3	#FB61D7
2.51225672983138	#C49A00	1.476	79.3803902439025	Cyprus	Cyprus	Europe & Central Asia	3	#C49A00
3.59127849872731	#C49A00	1.49	77.4243902439025	Czech Republic	Czech Republic	Europe & Central Asia	3	#C49A00
6.43945477826872	#C49A00	1.39	79.9878048780488	Germany	Germany	Europe & Central Asia	3	#C49A00
2.44430602628191	#00C094	3.75	57.5273902439024	Djibouti	Djibouti	Middle East & North Africa	3	#00C094
3.15483172556573	#C49A00	1.87	79.1	Denmark	Denmark	Europe & Central Asia	3	#C49A00
3.55271372244092	#53B400	2.58	73.2000243902439	Dominican Republic	Dominican Republic	Latin America & Caribbean	3	#53B400
4.98837512641076	#00C094	2.264	72.8525365853659	Algeria	Algeria	Middle East & North Africa	3	#00C094
3.90062712657109	#53B400	2.479	75.4622926829268	Ecuador	Ecuador	Latin America & Caribbean	3	#53B400
2.56516341947184	#C49A00	1.63	75.4292682926829	Estonia	Estonia	Europe & Central Asia	3	#C49A00
6.33780767336318	#00C094	2.733	72.9752682926829	Egypt, Arab Rep.	Egypt, Arab Rep.	Middle East & North Africa	3	#00C094
3.17485057033298	#FB61D7	4.453	60.9941951219512	Eritrea	Eritrea	Sub-Saharan Africa	3	#FB61D7
5.33193758517883	#C49A00	1.38	81.6268292682927	Spain	Spain	Europe & Central Asia	3	#C49A00
6.581566499798	#FB61D7	4.193	58.7150975609756	Ethiopia	Ethiopia	Sub-Saharan Africa	3	#FB61D7
3.13543083271215	#C49A00	1.87	79.8707317073171	Finland	Finland	Europe & Central Asia	3	#C49A00
2.45144350240119	#F8766D	2.668	69.2258292682927	Fiji	Fiji	East Asia & Pacific	3	#F8766D
2.14608295245417	#F8766D	3.451	68.7648292682927	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	East Asia & Pacific	3	#F8766D
5.95881235162729	#C49A00	2.03	81.3682926829268	France	France	Europe & Central Asia	3	#C49A00
2.60950092017379	#FB61D7	3.25	62.2866829268293	Gabon	Gabon	Sub-Saharan Africa	3	#FB61D7
5.87387157689428	#C49A00	1.98	80.4024390243902	United Kingdom	United Kingdom	Europe & Central Asia	3	#C49A00
2.14695326047465	#53B400	2.235	75.6604390243903	Grenada	Grenada	Latin America & Caribbean	3	#53B400
3.034269728174	#C49A00	1.555	73.3273414634146	Georgia	Georgia	Europe & Central Asia	3	#C49A00
4.41763416158712	#FB61D7	4.17	63.8372682926829	Ghana	Ghana	Sub-Saharan Africa	3	#FB61D7
2.10039811274802	#C49A00	2.2	70.2390243902439	Greenland	Greenland	Europe & Central Asia	3	#C49A00
2.63362641396908	#FB61D7	4.896	58.1600243902439	Gambia, The	Gambia, The	Sub-Saharan Africa	3	#FB61D7
3.61803567491253	#FB61D7	5.246	53.6385853658537	Guinea	Guinea	Sub-Saharan Africa	3	#FB61D7
2.40518441435808	#FB61D7	5.185	50.8408048780488	Equatorial Guinea	Equatorial Guinea	Sub-Saharan Africa	3	#FB61D7
3.64986223699802	#C49A00	1.51	80.3878048780488	Greece	Greece	Europe & Central Asia	3	#C49A00
3.85833565950632	#53B400	3.983	70.8254146341463	Guatemala	Guatemala	Latin America & Caribbean	3	#53B400
2.18653666331278	#F8766D	2.47	75.9942682926829	Guam	Guam	East Asia & Pacific	3	#F8766D
2.61548338620069	#FB61D7	5.063	47.7006585365854	Guinea-Bissau	Guinea-Bissau	Sub-Saharan Africa	3	#FB61D7
2.43111379038097	#53B400	2.262	69.5491463414634	Guyana	Guyana	Latin America & Caribbean	3	#53B400
3.29982766025016	#F8766D	1.127	82.9780487804878	Hong Kong SAR, China	Hong Kong SAR, China	East Asia & Pacific	3	#F8766D
3.3540532668405	#53B400	3.139	72.8259268292683	Honduras	Honduras	Latin America & Caribbean	3	#53B400
3.03018303808373	#C49A00	1.46	76.4756097560976	Croatia	Croatia	Europe & Central Asia	3	#C49A00
3.54333991991802	#53B400	3.34	61.763	Haiti	Haiti	Latin America & Caribbean	3	#53B400
3.55141113745519	#C49A00	1.25	74.2073170731707	Hungary	Hungary	Europe & Central Asia	3	#C49A00
9.61653639030266	#F8766D	2.117	68.8896585365854	Indonesia	Indonesia	East Asia & Pacific	3	#F8766D
3.03677864661144	#C49A00	2.07	80.8951219512195	Ireland	Ireland	Europe & Central Asia	3	#C49A00
3.35426652000392	#00C094	3.03	81.6024390243903	Israel	Israel	Middle East & North Africa	3	#00C094
19.0473801939644	#A58AFF	2.625	65.1313414634146	India	India	South Asia	3	#A58AFF
4.73127622888367	#00C094	4.702	68.4860487804878	Iraq	Iraq	Middle East & North Africa	3	#00C094
6.2362205503859	#00C094	1.67	72.7518536585366	Iran, Islamic Rep.	Iran, Islamic Rep.	Middle East & North Africa	3	#00C094
2.27023476402776	#C49A00	2.2	81.8975609756098	Iceland	Iceland	Europe & Central Asia	3	#C49A00
5.81784392931878	#C49A00	1.41	81.7365853658537	Italy	Italy	Europe & Central Asia	3	#C49A00
2.18658705400896	#C49A00	1.46	79.832	Channel Islands	Channel Islands	Europe & Central Asia	3	#C49A00
2.80466717108491	#53B400	2.329	72.8471219512195	Jamaica	Jamaica	Latin America & Caribbean	3	#53B400
3.20571805796288	#00C094	3.8	73.2896585365854	Jordan	Jordan	Middle East & North Africa	3	#00C094
7.54241827148215	#F8766D	1.39	82.8426829268293	Japan	Japan	East Asia & Pacific	3	#F8766D
5.13967474408869	#FB61D7	4.718	56.4970731707317	Kenya	Kenya	Sub-Saharan Africa	3	#FB61D7
3.1443703685915	#C49A00	3.06	69.3	Kyrgyz Republic	Kyrgyz Republic	Europe & Central Asia	3	#C49A00
3.85984976954278	#F8766D	2.581	62.5362195121951	Cambodia	Cambodia	East Asia & Pacific	3	#F8766D
2.40127299762444	#FB61D7	4.919	60.6262682926829	Comoros	Comoros	Sub-Saharan Africa	3	#FB61D7
4.42945121247796	#F8766D	2.022	68.5321463414634	Korea, Dem. Rep.	Korea, Dem. Rep.	East Asia & Pacific	3	#F8766D
5.45060628677446	#F8766D	1.226	80.5658536585366	Korea, Rep.	Korea, Rep.	East Asia & Pacific	3	#F8766D
2.65145368393165	#C49A00	2.2893	69.8843902439024	Kosovo	Kosovo	Europe & Central Asia	3	#C49A00
2.8470452130882	#00C094	2.295	74.6047317073171	Kuwait	Kuwait	Middle East & North Africa	3	#00C094
3.98270130952127	#C49A00	2.59	68.2953658536585	Kazakhstan	Kazakhstan	Europe & Central Asia	3	#C49A00
3.24018330916433	#F8766D	2.747	67.064	Lao PDR	Lao PDR	East Asia & Pacific	3	#F8766D
3.02116921503676	#00C094	1.8	72.408756097561	Lebanon	Lebanon	Middle East & North Africa	3	#00C094
2.19779908067268	#53B400	1.98	74.4399024390244	St. Lucia	St. Lucia	Latin America & Caribbean	3	#53B400
4.23042268349618	#A58AFF	2.313	74.7226097560976	Sri Lanka	Sri Lanka	South Asia	3	#A58AFF
2.97490487480285	#FB61D7	5.238	56.1475853658537	Liberia	Liberia	Sub-Saharan Africa	3	#FB61D7
2.69326390095008	#FB61D7	3.199	47.3650731707317	Lesotho	Lesotho	Sub-Saharan Africa	3	#FB61D7
2.88806161767604	#C49A00	1.55	73.2682926829268	Lithuania	Lithuania	Europe & Central Asia	3	#C49A00
2.34433155532171	#C49A00	1.63	80.6317073170732	Luxembourg	Luxembourg	Europe & Central Asia	3	#C49A00
2.73217313261966	#C49A00	1.17	73.4829268292683	Latvia	Latvia	Europe & Central Asia	3	#C49A00
3.20517934494644	#00C094	2.564	74.7531219512195	Libya	Libya	Middle East & North Africa	3	#00C094
4.761119261152	#00C094	2.279	71.8646341463415	Morocco	Morocco	Middle East & North Africa	3	#00C094
2.92466250399086	#C49A00	1.475	68.9037073170732	Moldova	Moldova	Europe & Central Asia	3	#C49A00
2.38188099439352	#C49A00	1.656	74.3110975609756	Montenegro	Montenegro	Europe & Central Asia	3	#C49A00
4.25335333113647	#FB61D7	4.651	66.4670731707317	Madagascar	Madagascar	Sub-Saharan Africa	3	#FB61D7
2.70929801389143	#C49A00	1.422	74.6188536585366	Macedonia, FYR	Macedonia, FYR	Europe & Central Asia	3	#C49A00
3.83512673579446	#FB61D7	6.294	50.9548292682927	Mali	Mali	Sub-Saharan Africa	3	#FB61D7
5.53757382163652	#F8766D	2.002	64.6620975609756	Myanmar	Myanmar	East Asia & Pacific	3	#F8766D
2.80639351471246	#F8766D	2.504	68.1949756097561	Mongolia	Mongolia	East Asia & Pacific	3	#F8766D
2.3538853194212	#F8766D	1.092	80.7753170731707	Macao SAR, China	Macao SAR, China	East Asia & Pacific	3	#F8766D
2.93081492841938	#FB61D7	4.533	58.2169512195122	Mauritania	Mauritania	Sub-Saharan Africa	3	#FB61D7
2.31086768826019	#00C094	1.38	80.9487804878049	Malta	Malta	Middle East & North Africa	3	#00C094
2.55238624471431	#FB61D7	1.47	72.9673170731707	Mauritius	Mauritius	Sub-Saharan Africa	3	#FB61D7
2.27362673408537	#A58AFF	1.752	76.5514146341463	Maldives	Maldives	South Asia	3	#A58AFF
3.90142736324428	#FB61D7	5.99	53.4626341463415	Malawi	Malawi	Sub-Saharan Africa	3	#FB61D7
7.33038244465155	#53B400	2.32	76.6837804878049	Mexico	Mexico	Latin America & Caribbean	3	#53B400
4.61003370977998	#F8766D	2.635	74.0245609756098	Malaysia	Malaysia	East Asia & Pacific	3	#F8766D
4.40285073181316	#FB61D7	4.912	49.6969268292683	Mozambique	Mozambique	Sub-Saharan Africa	3	#FB61D7
2.72222196305026	#FB61D7	3.217	62.0700975609756	Namibia	Namibia	Sub-Saharan Africa	3	#FB61D7
2.23795705602781	#F8766D	2.141	76.3016829268293	New Caledonia	New Caledonia	East Asia & Pacific	3	#F8766D
3.95641592535273	#FB61D7	7.063	54.2656341463415	Niger	Niger	Sub-Saharan Africa	3	#FB61D7
8.20435765722894	#FB61D7	5.525	51.4100243902439	Nigeria	Nigeria	Sub-Saharan Africa	3	#FB61D7
