size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.19158561857718	#00C094	6.783	59.5129268292683	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
3.56855367522696	#A58AFF	7.7	33.8091463414634	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.68796918213372	#C49A00	5.202	66.3118048780488	Albania	Albania	Europe & Central Asia	3	#C49A00
2.74742471834478	#C49A00	3.606	68.8266341463415	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.16231765507609	#FB61D7	7.403	35.7958536585366	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.35083487339101	#53B400	3.048	65.888243902439	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.33213895414845	#C49A00	2.63	69.9178048780488	Austria	Austria	Europe & Central Asia	3	#C49A00
3.68538464347539	#F8766D	2.848	70.8692682926829	Australia	Australia	East Asia & Pacific	3	#F8766D
2.10176218934453	#53B400	3.417	68.0346829268293	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.07756390257211	#C49A00	5.056	63.6687317073171	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.93194605861951	#C49A00	3.239	64.3673414634146	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.23100456085736	#53B400	3.637	67.4968780487805	Barbados	Barbados	Latin America & Caribbean	3	#53B400
5.83306779844604	#A58AFF	6.914	48.6670487804878	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.51850864688756	#C49A00	2.42	71.0129268292683	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.13327054608483	#FB61D7	6.53	39.3498292682927	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.41405430121531	#C49A00	2.02	70.4139024390244	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.20894419832888	#00C094	6.998	60.9560243902439	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
