x	y	label	key	showSelected1	PANEL
6.877	54.9011951219512	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.7	32.2042682926829	Afghanistan	Afghanistan	Afghanistan	3
5.704	64.8870975609756	Albania	Albania	Albania	3
4.317	67.1300243902439	Armenia	Armenia	Armenia	3
7.41	34.1879512195122	Angola	Angola	Angola	3
3.078	65.4655365853659	Argentina	Argentina	Argentina	3
2.811	69.4436585365854	Austria	Austria	Austria	3
3.332	70.9117073170732	Australia	Australia	Australia	3
4.271	66.7139756097561	Aruba	Aruba	Aruba	3
5.549	62.052	Azerbaijan	Azerbaijan	Azerbaijan	3
3.737	62.1247804878049	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
4.196	66.0707804878049	Barbados	Barbados	Barbados	3
6.819	49.4155365853659	Bangladesh	Bangladesh	Bangladesh	3
2.68	70.0514634146342	Belgium	Belgium	Belgium	3
6.377	37.3750243902439	Burkina Faso	Burkina Faso	Burkina Faso	3
2.21	70.3092682926829	Bulgaria	Bulgaria	Bulgaria	3
7.19	56.0134390243903	Bahrain	Bahrain	Bahrain	3
6.801	42.1882926829268	Burundi	Burundi	Burundi	3
6.447	36.4723414634146	Benin	Benin	Benin	3
6.36	63.9135853658537	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
6.627	43.5867804878049	Bolivia	Bolivia	Bolivia	3
6.063	55.848243902439	Brazil	Brazil	Brazil	3
4.356	64.3053170731707	Bahamas, The	Bahamas, The	Bahamas, The	3
6.67	37.8669512195122	Bhutan	Bhutan	Bhutan	3
6.666	51.5844146341463	Botswana	Botswana	Botswana	3
2.4	69.0442195121951	Belarus	Belarus	Belarus	3
6.44	62.4154390243903	Belize	Belize	Belize	3
3.607	71.3807317073171	Canada	Canada	Canada	3
6.048	41.678	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.91	37.7603414634146	Central African Republic	Central African Republic	Central African Republic	3
6.012	50.4104390243902	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
2.68	71.1875609756098	Switzerland	Switzerland	Switzerland	3
7.572	40.9189268292683	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
5.342	58.2884146341463	Chile	Chile	Chile	3
5.913	42.8435609756098	Cameroon	Cameroon	Cameroon	3
5.697	46.323512195122	China	China	China	3
6.731	58.1958292682927	Colombia	Colombia	Colombia	3
7.085	63.2929024390244	Costa Rica	Costa Rica	Costa Rica	3
4.606	65.5359024390244	Cuba	Cuba	Cuba	3
6.976	49.3410243902439	Cape Verde	Cape Verde	Cape Verde	3
3.346	70.5644390243903	Cyprus	Cyprus	Cyprus	3
2.31	70.3043902439025	Czech Republic	Czech Republic	Czech Republic	3
2.51	70.1719512195122	Germany	Germany	Germany	3
7.79	39.9549024390244	Djibouti	Djibouti	Djibouti	3
2.642	72.4004878048781	Denmark	Denmark	Denmark	3
7.304	53.9332682926829	Dominican Republic	Dominican Republic	Dominican Republic	3
7.376	48.6398292682927	Algeria	Algeria	Algeria	3
