x	y	label	key	showSelected1	PANEL
2.191	75.4639756097561	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.14	46.3511951219512	Afghanistan	Afghanistan	Afghanistan	3
1.847	75.8591219512195	Albania	Albania	Albania	3
1.715	72.6164146341464	Armenia	Armenia	Armenia	3
6.391	48.0037073170732	Angola	Angola	Angola	3
2.31	74.5455853658537	Argentina	Argentina	Argentina	3
1.42	79.1804878048781	Austria	Austria	Austria	3
1.768	80.490243902439	Australia	Australia	Australia	3
1.787	74.087756097561	Aruba	Aruba	Aruba	3
2.0535	68.4571951219512	Azerbaijan	Azerbaijan	Azerbaijan	3
1.239	74.6596341463415	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.5	75.8015365853659	Barbados	Barbados	Barbados	3
2.699	66.5313658536585	Bangladesh	Bangladesh	Bangladesh	3
1.72	78.8780487804878	Belgium	Belgium	Belgium	3
6.075	51.9222195121951	Burkina Faso	Burkina Faso	Burkina Faso	3
1.29	72.5634146341463	Bulgaria	Bulgaria	Bulgaria	3
2.621	74.2715365853659	Bahrain	Bahrain	Bahrain	3
5.18	47.3803658536585	Burundi	Burundi	Burundi	3
5.702	53.5489512195122	Benin	Benin	Benin	3
2.213	77.0626341463415	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
3.811	64.3692926829268	Bolivia	Bolivia	Bolivia	3
2.136	71.2617804878049	Brazil	Brazil	Brazil	3
1.858	73.1578292682927	Bahamas, The	Bahamas, The	Bahamas, The	3
3.053	64.3482195121951	Bhutan	Bhutan	Bhutan	3
3.08	49.7374878048781	Botswana	Botswana	Botswana	3
1.2	68.9560975609756	Belarus	Belarus	Belarus	3
3.209	74.2599268292683	Belize	Belize	Belize	3
1.53	80.1414634146341	Canada	Canada	Canada	3
6.531	46.7870243902439	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.175	43.9461219512195	Central African Republic	Central African Republic	Central African Republic	3
4.788	54.7726097560976	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.42	81.0878048780488	Switzerland	Switzerland	Switzerland	3
4.932	51.1113902439024	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
1.96	78.0895853658537	Chile	Chile	Chile	3
4.85	49.3748536585366	Cameroon	Cameroon	Cameroon	3
1.68	71.9623414634146	China	China	China	3
2.518	72.0367804878049	Colombia	Colombia	Colombia	3
2.134	78.4284146341463	Costa Rica	Costa Rica	Costa Rica	3
1.592	77.3740975609756	Cuba	Cuba	Cuba	3
3.041	71.6177804878049	Cape Verde	Cape Verde	Cape Verde	3
1.55	78.4500975609756	Cyprus	Cyprus	Cyprus	3
1.23	75.7219512195122	Czech Republic	Czech Republic	Czech Republic	3
1.36	78.6804878048781	Germany	Germany	Germany	3
4.329	55.1590243902439	Djibouti	Djibouti	Djibouti	3
1.78	77.4926829268293	Denmark	Denmark	Denmark	3
2.781	71.863	Dominican Republic	Dominican Republic	Dominican Republic	3
2.466	71.3649024390244	Algeria	Algeria	Algeria	3
2.739	74.5164146341463	Ecuador	Ecuador	Ecuador	3
1.47	71.909756097561	Estonia	Estonia	Estonia	3
3.05	71.1338780487805	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
5.033	58.1626829268293	Eritrea	Eritrea	Eritrea	3
1.32	79.8707317073171	Spain	Spain	Spain	3
5.294	54.3706585365854	Ethiopia	Ethiopia	Ethiopia	3
1.8	78.7146341463415	Finland	Finland	Finland	3
2.907	68.3406585365854	Fiji	Fiji	Fiji	3
3.914	67.752512195122	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
1.92	80.1634146341463	France	France	France	3
3.621	59.6818048780488	Gabon	Gabon	Gabon	3
1.77	78.7463414634146	United Kingdom	United Kingdom	United Kingdom	3
2.374	74.5443414634146	Grenada	Grenada	Grenada	3
1.574	72.4473414634146	Georgia	Georgia	Georgia	3
4.487	60.3966097560976	Ghana	Ghana	Ghana	3
5.354	56.3548536585366	Gambia, The	Gambia, The	Gambia, The	3
5.698	50.5689512195122	Guinea	Guinea	Guinea	3
