x	y	label	key	showSelected1	PANEL
5.209	69.8756829268293	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.807	40.149243902439	Afghanistan	Afghanistan	Afghanistan	3
3.904	70.7154146341463	Albania	Albania	Albania	3
2.406	70.2919268292683	Armenia	Armenia	Armenia	3
7.205	40.5297804878049	Angola	Angola	Angola	3
3.163	70.2121219512195	Argentina	Argentina	Argentina	3
1.56	72.9685365853659	Austria	Austria	Austria	3
1.924	75.1463414634146	Australia	Australia	Australia	3
2.353	72.8490243902439	Aruba	Aruba	Aruba	3
3.026	65.0080975609756	Azerbaijan	Azerbaijan	Azerbaijan	3
1.992	71.2393658536586	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.889	72.8072926829268	Barbados	Barbados	Barbados	3
5.903	56.3081219512195	Bangladesh	Bangladesh	Bangladesh	3
1.56	73.8690243902439	Belgium	Belgium	Belgium	3
7.059	47.5113414634146	Burkina Faso	Burkina Faso	Burkina Faso	3
2	71.3863414634146	Bulgaria	Bulgaria	Bulgaria	3
4.583	70.9411463414634	Bahrain	Bahrain	Bahrain	3
6.514	47.8462926829268	Burundi	Burundi	Burundi	3
7.01	46.1964634146342	Benin	Benin	Benin	3
3.906	71.6538292682927	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
5.259	54.2558292682927	Bolivia	Bolivia	Bolivia	3
3.721	63.6762926829268	Brazil	Brazil	Brazil	3
2.965	68.5236585365854	Bahamas, The	Bahamas, The	Bahamas, The	3
6.399	48.1824146341464	Bhutan	Bhutan	Bhutan	3
5.88	61.9666585365854	Botswana	Botswana	Botswana	3
2.11	70.4620243902439	Belarus	Belarus	Belarus	3
5.336	71.0464146341463	Belize	Belize	Belize	3
1.68	76.0363414634146	Canada	Canada	Canada	3
6.748	46.2006829268293	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.955	49.6525365853659	Central African Republic	Central African Republic	Central African Republic	3
5.952	56.8532195121951	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.51	76.0312195121951	Switzerland	Switzerland	Switzerland	3
7.253	52.6931707317073	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
2.651	71.0063658536586	Chile	Chile	Chile	3
6.377	52.3071951219512	Cameroon	Cameroon	Cameroon	3
2.602	67.7998536585366	China	China	China	3
3.63	66.9430975609756	Colombia	Colombia	Colombia	3
3.517	73.9583902439024	Costa Rica	Costa Rica	Costa Rica	3
1.825	74.0802682926829	Cuba	Cuba	Cuba	3
6.075	61.5797073170732	Cape Verde	Cape Verde	Cape Verde	3
2.438	75.3154878048781	Cyprus	Cyprus	Cyprus	3
1.97	70.5914634146341	Czech Republic	Czech Republic	Czech Republic	3
1.33	73.6377073170732	Germany	Germany	Germany	3
6.592	49.3273170731707	Djibouti	Djibouti	Djibouti	3
1.377	74.4204878048781	Denmark	Denmark	Denmark	3
4.082	64.2024390243903	Dominican Republic	Dominican Republic	Dominican Republic	3
6.38	61.968512195122	Algeria	Algeria	Algeria	3
4.629	64.8221463414634	Ecuador	Ecuador	Ecuador	3
2.16	69.3756097560976	Estonia	Estonia	Estonia	3
5.189	57.8743658536585	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.481	44.1779024390244	Eritrea	Eritrea	Eritrea	3
1.792	75.9090243902439	Spain	Spain	Spain	3
6.95	43.842243902439	Ethiopia	Ethiopia	Ethiopia	3
1.74	74.2009756097561	Finland	Finland	Finland	3
3.755	63.8533414634146	Fiji	Fiji	Fiji	3
5.894	65.4535853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
1.86	74.8	France	France	France	3
5.197	57.4076341463415	Gabon	Gabon	Gabon	3
1.77	74.3780487804878	United Kingdom	United Kingdom	United Kingdom	3
4.245	65.4833658536585	Grenada	Grenada	Grenada	3
2.277	69.4941707317073	Georgia	Georgia	Georgia	3
6.31	53.9646585365854	Ghana	Ghana	Ghana	3
6.28	50.0315853658537	Gambia, The	Gambia, The	Gambia, The	3
6.949	40.3074146341463	Guinea	Guinea	Guinea	3
5.802	43.9001707317073	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
1.94	75.2491707317073	Greece	Greece	Greece	3
6.054	58.6529756097561	Guatemala	Guatemala	Guatemala	3
