x	y	label	key	showSelected1	PANEL
5.624	67.7853658536585	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.711	38.4965853658537	Afghanistan	Afghanistan	Afghanistan	3
4.17	69.0996341463415	Albania	Albania	Albania	3
2.479	70.576	Armenia	Armenia	Armenia	3
7.194	39.8194390243902	Angola	Angola	Angola	3
3.391	68.881243902439	Argentina	Argentina	Argentina	3
1.621	71.9670731707317	Austria	Austria	Austria	3
1.949	73.6741463414634	Australia	Australia	Australia	3
2.425	71.6697804878049	Aruba	Aruba	Aruba	3
3.539	64.828756097561	Azerbaijan	Azerbaijan	Azerbaijan	3
2.202	69.7717317073171	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
2.121	71.375	Barbados	Barbados	Barbados	3
6.604	52.1278780487805	Bangladesh	Bangladesh	Bangladesh	3
1.691	72.6980487804878	Belgium	Belgium	Belgium	3
7.022	45.2961951219512	Burkina Faso	Burkina Faso	Burkina Faso	3
2.15	71.1846341463415	Bulgaria	Bulgaria	Bulgaria	3
5.157	68.9990487804878	Bahrain	Bahrain	Bahrain	3
6.753	46.0538292682927	Burundi	Burundi	Burundi	3
7.004	44.4575365853659	Benin	Benin	Benin	3
4.645	70.0611463414634	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
5.761	50.4087804878049	Bolivia	Bolivia	Bolivia	3
4.256	61.6921707317073	Brazil	Brazil	Brazil	3
3.012	67.2374390243902	Bahamas, The	Bahamas, The	Bahamas, The	3
6.64	45.086	Bhutan	Bhutan	Bhutan	3
6.35	59.3890243902439	Botswana	Botswana	Botswana	3
2.06	70.5043658536585	Belarus	Belarus	Belarus	3
6.109	69.4454878048781	Belize	Belize	Belize	3
1.768	74.529756097561	Canada	Canada	Canada	3
6.487	45.5481219512195	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.953	47.8185365853659	Central African Republic	Central African Republic	Central African Republic	3
6.273	55.764243902439	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.493	75.1873170731707	Switzerland	Switzerland	Switzerland	3
7.778	50.1547073170732	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
2.788	67.7274634146342	Chile	Chile	Chile	3
6.419	50.2809024390244	Cameroon	Cameroon	Cameroon	3
2.907	66.4958048780488	China	China	China	3
4.247	64.2897317073171	Colombia	Colombia	Colombia	3
3.719	71.3866829268293	Costa Rica	Costa Rica	Costa Rica	3
2.134	73.0308536585366	Cuba	Cuba	Cuba	3
6.564	58.5987804878049	Cape Verde	Cape Verde	Cape Verde	3
2.312	74.349	Cyprus	Cyprus	Cyprus	3
2.33	70.6439024390244	Czech Republic	Czech Republic	Czech Republic	3
1.38	72.2559268292683	Germany	Germany	Germany	3
6.781	46.8660975609756	Djibouti	Djibouti	Djibouti	3
1.668	74.3929268292683	Denmark	Denmark	Denmark	3
4.693	62.2597804878049	Dominican Republic	Dominican Republic	Dominican Republic	3
7.138	58.2408780487805	Algeria	Algeria	Algeria	3
5.334	61.7104634146342	Ecuador	Ecuador	Ecuador	3
2.04	69.2441707317073	Estonia	Estonia	Estonia	3
5.465	54.956	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.505	44.2151707317073	Eritrea	Eritrea	Eritrea	3
2.524	74.2956097560976	Spain	Spain	Spain	3
6.785	44.2518048780488	Ethiopia	Ethiopia	Ethiopia	3
1.652	72.8970731707317	Finland	Finland	Finland	3
3.968	62.4244634146341	Fiji	Fiji	Fiji	3
6.398	64.8335853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
1.89	73.6024390243903	France	France	France	3
5.124	53.1674146341463	Gabon	Gabon	Gabon	3
1.75	73.1756097560976	United Kingdom	United Kingdom	United Kingdom	3
4.299	64.8455365853659	Grenada	Grenada	Grenada	3
2.379	69.2523658536585	Georgia	Georgia	Georgia	3
6.665	52.4317073170732	Ghana	Ghana	Ghana	3
6.342	45.7965853658537	Gambia, The	Gambia, The	Gambia, The	3
6.921	37.8224878048781	Guinea	Guinea	Guinea	3
5.693	42.1638292682927	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
2.274	73.8512195121951	Greece	Greece	Greece	3
6.203	56.4922682926829	Guatemala	Guatemala	Guatemala	3
3.447	68.7754878048781	Guam	Guam	Guam	3
6.33	39.2848048780488	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
3.859	58.9757804878049	Guyana	Guyana	Guyana	3
