x	y	label	key	showSelected1	PANEL
6.279	64.8883170731707	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.695	36.3613170731707	Afghanistan	Afghanistan	Afghanistan	3
4.598	67.813512195122	Albania	Albania	Albania	3
2.942	70.4793170731707	Armenia	Armenia	Armenia	3
7.208	38.2276585365854	Angola	Angola	Angola	3
3.203	67.4204390243903	Argentina	Argentina	Argentina	3
1.97	70.9792682926829	Austria	Austria	Austria	3
2.491	71.8468292682927	Australia	Australia	Australia	3
2.613	70.1396585365854	Aruba	Aruba	Aruba	3
4.216	65.2341707317073	Azerbaijan	Azerbaijan	Azerbaijan	3
2.581	67.6176341463415	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
2.648	69.5960243902439	Barbados	Barbados	Barbados	3
6.91	39.2523658536585	Bangladesh	Bangladesh	Bangladesh	3
1.95	71.6353658536586	Belgium	Belgium	Belgium	3
6.75	42.5334146341463	Burkina Faso	Burkina Faso	Burkina Faso	3
2.15	71.3421951219512	Bulgaria	Bulgaria	Bulgaria	3
5.895	66.1482682926829	Bahrain	Bahrain	Bahrain	3
6.817	44.2140243902439	Burundi	Burundi	Burundi	3
6.86	41.8348780487805	Benin	Benin	Benin	3
5.687	68.2850731707317	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
6.415	47.0406341463415	Bolivia	Bolivia	Bolivia	3
4.679	59.7048048780488	Brazil	Brazil	Brazil	3
3.411	66.5426585365854	Bahamas, The	Bahamas, The	Bahamas, The	3
6.685	42.115756097561	Bhutan	Bhutan	Bhutan	3
6.546	56.246	Botswana	Botswana	Botswana	3
2.25	70.8809268292683	Belarus	Belarus	Belarus	3
6.285	67.4126097560976	Belize	Belize	Belize	3
1.89	73.1626829268293	Canada	Canada	Canada	3
6.301	44.7539024390244	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.952	44.2975609756098	Central African Republic	Central African Republic	Central African Republic	3
6.312	54.409	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.823	73.9409756097561	Switzerland	Switzerland	Switzerland	3
7.94	46.3500487804878	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
3.504	64.0492682926829	Chile	Chile	Chile	3
6.315	47.6740487804878	Cameroon	Cameroon	Cameroon	3
4.544	64.9957804878049	China	China	China	3
4.956	61.8756341463415	Colombia	Colombia	Colombia	3
4.278	68.4140975609756	Costa Rica	Costa Rica	Costa Rica	3
3.4	71.0925365853659	Cuba	Cuba	Cuba	3
6.855	55.0495365853659	Cape Verde	Cape Verde	Cape Verde	3
2.44	73.2575853658537	Cyprus	Cyprus	Cyprus	3
2.31	70.0226829268293	Czech Republic	Czech Republic	Czech Republic	3
1.54	70.9418048780488	Germany	Germany	Germany	3
7.156	44.5749756097561	Djibouti	Djibouti	Djibouti	3
1.917	73.6821951219512	Denmark	Denmark	Denmark	3
5.58	60.0717804878049	Dominican Republic	Dominican Republic	Dominican Republic	3
7.384	54.8353170731707	Algeria	Algeria	Algeria	3
5.955	59.0947804878049	Ecuador	Ecuador	Ecuador	3
2.13	69.9939268292683	Estonia	Estonia	Estonia	3
5.692	52.0190975609756	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.52	44.2003414634146	Eritrea	Eritrea	Eritrea	3
2.823	72.6107317073171	Spain	Spain	Spain	3
6.794	43.7659268292683	Ethiopia	Ethiopia	Ethiopia	3
1.504	71.2236585365854	Finland	Finland	Finland	3
