x	y	label	key	showSelected1	PANEL
4.193	72.4153170731707	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.984	42.636	Afghanistan	Afghanistan	Afghanistan	3
3.058	71.5314878048781	Albania	Albania	Albania	3
2.482	67.7360731707317	Armenia	Armenia	Armenia	3
7.144	41.2088780487805	Angola	Angola	Angola	3
2.956	71.7179268292683	Argentina	Argentina	Argentina	3
1.5	75.5678048780488	Austria	Austria	Austria	3
1.849	77.2756097560976	Australia	Australia	Australia	3
2.221	73.4331219512195	Aruba	Aruba	Aruba	3
2.87	64.4241463414634	Azerbaijan	Azerbaijan	Azerbaijan	3
1.645	66.3856829268293	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.739	74.5583658536585	Barbados	Barbados	Barbados	3
4.356	59.9897073170732	Bangladesh	Bangladesh	Bangladesh	3
1.57	76.1921951219512	Belgium	Belgium	Belgium	3
6.794	48.5274146341463	Burkina Faso	Burkina Faso	Burkina Faso	3
1.65	71.5609756097561	Bulgaria	Bulgaria	Bulgaria	3
3.567	72.6096829268293	Bahrain	Bahrain	Bahrain	3
6.492	45.6215365853659	Burundi	Burundi	Burundi	3
6.677	49.1231219512195	Benin	Benin	Benin	3
3.435	73.9232195121951	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
4.866	59.3024146341464	Bolivia	Bolivia	Bolivia	3
2.717	66.734243902439	Brazil	Brazil	Brazil	3
2.631	69.4571219512195	Bahamas, The	Bahamas, The	Bahamas, The	3
5.573	53.3589512195122	Bhutan	Bhutan	Bhutan	3
4.542	63.648	Botswana	Botswana	Botswana	3
1.8	70.3780487804878	Belarus	Belarus	Belarus	3
4.436	72.6361707317073	Belize	Belize	Belize	3
1.7	77.5534146341464	Canada	Canada	Canada	3
7.112	46.8238292682927	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.734	48.4149756097561	Central African Republic	Central African Republic	Central African Republic	3
5.293	55.8807804878049	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.58	77.5146341463415	Switzerland	Switzerland	Switzerland	3
6.117	52.3796341463415	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
2.597	73.9164146341464	Chile	Chile	Chile	3
5.832	53.1279024390244	Cameroon	Cameroon	Cameroon	3
2.219	69.6640243902439	China	China	China	3
3.057	68.4601219512195	Colombia	Colombia	Colombia	3
3.09	75.9568536585366	Costa Rica	Costa Rica	Costa Rica	3
1.715	74.5215853658537	Cuba	Cuba	Cuba	3
5.164	65.519512195122	Cape Verde	Cape Verde	Cape Verde	3
2.381	76.6621219512195	Cyprus	Cyprus	Cyprus	3
1.86	71.8982926829268	Czech Republic	Czech Republic	Czech Republic	3
1.33	75.319512195122	Germany	Germany	Germany	3
6.048	51.6243658536585	Djibouti	Djibouti	Djibouti	3
1.68	75.1578048780488	Denmark	Denmark	Denmark	3
3.397	68.1671463414634	Dominican Republic	Dominican Republic	Dominican Republic	3
4.468	67.4289756097561	Algeria	Algeria	Algeria	3
3.557	69.3557317073171	Ecuador	Ecuador	Ecuador	3
1.77	69.3731707317073	Estonia	Estonia	Estonia	3
4.179	62.6876585365854	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.164	49.0215853658537	Eritrea	Eritrea	Eritrea	3
1.31	76.9712195121951	Spain	Spain	Spain	3
7.059	47.5029024390244	Ethiopia	Ethiopia	Ethiopia	3
1.8	75.2275609756098	Finland	Finland	Finland	3
3.374	65.7933170731707	Fiji	Fiji	Fiji	3
4.882	66.3101219512195	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
1.75	76.8487804878049	France	France	France	3
5.15	61.3965365853659	Gabon	Gabon	Gabon	3
1.82	76.0829268292683	United Kingdom	United Kingdom	United Kingdom	3
3.701	69.5831951219512	Grenada	Grenada	Grenada	3
2.132	70.2768292682927	Georgia	Georgia	Georgia	3
5.505	57.2862926829268	Ghana	Ghana	Ghana	3
6.066	53.209	Gambia, The	Gambia, The	Gambia, The	3
6.685	44.1099512195122	Guinea	Guinea	Guinea	3
5.901	47.1348536585366	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
1.38	77.1365853658537	Greece	Greece	Greece	3
5.525	62.8184634146342	Guatemala	Guatemala	Guatemala	3
3.124	72.3200487804878	Guam	Guam	Guam	3
6.608	42.984756097561	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
2.56	61.2744390243902	Guyana	Guyana	Guyana	3
1.281	77.8829268292683	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	3
5.048	66.7858536585366	Honduras	Honduras	Honduras	3
1.53	72.1853658536586	Croatia	Croatia	Croatia	3
5.318	55.5348048780488	Haiti	Haiti	Haiti	3
1.86	69.3770731707317	Hungary	Hungary	Hungary	3
3.024	62.4969024390244	Indonesia	Indonesia	Indonesia	3
2.09	74.9505365853659	Ireland	Ireland	Ireland	3
2.762	76.7585365853659	Israel	Israel	Israel	3
3.838	58.6156829268293	India	India	India	3
5.917	68.7992682926829	Iraq	Iraq	Iraq	3
4.478	63.7254878048781	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	3
2.19	77.9919512195122	Iceland	Iceland	Iceland	3
1.27	76.8780487804878	Italy	Italy	Italy	3
1.461	75.6369268292683	Channel Islands	Channel Islands	Channel Islands	3
2.899	70.5388048780488	Jamaica	Jamaica	Jamaica	3
5.554	70.6672195121951	Jordan	Jordan	Jordan	3
1.53	79.1007317073171	Japan	Japan	Japan	3
5.847	58.9795853658537	Kenya	Kenya	Kenya	3
3.671	68.5512195121951	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	3
5.605	55.5814634146342	Cambodia	Cambodia	Cambodia	3
5.447	55.829243902439	Comoros	Comoros	Comoros	3
2.391	70.1393170731707	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	3
1.74	71.730243902439	Korea, Rep.	Korea, Rep.	Korea, Rep.	3
3.5844	67.9290243902439	Kosovo	Kosovo	Kosovo	3
2.418	72.8225365853659	Kuwait	Kuwait	Kuwait	3
2.61	67.9829268292683	Kazakhstan	Kazakhstan	Kazakhstan	3
6.057	55.0806097560976	Lao PDR	Lao PDR	Lao PDR	3
3.078	68.9362195121951	Lebanon	Lebanon	Lebanon	3
3.2	71.4414634146341	St. Lucia	St. Lucia	St. Lucia	3
2.435	69.7313902439024	Sri Lanka	Sri Lanka	Sri Lanka	3
6.437	42.1279512195122	Liberia	Liberia	Liberia	3
4.837	59.642	Lesotho	Lesotho	Lesotho	3
1.97	70.3641463414634	Lithuania	Lithuania	Lithuania	3
1.6	75.4634146341463	Luxembourg	Luxembourg	Luxembourg	3
1.86	69.0324390243903	Latvia	Latvia	Latvia	3
4.521	68.605	Libya	Libya	Libya	3
3.876	64.6802682926829	Morocco	Morocco	Morocco	3
2.305	67.3723902439024	Moldova	Moldova	Moldova	3
1.843	75.6126341463415	Montenegro	Montenegro	Montenegro	3
6.225	51.4204146341463	Madagascar	Madagascar	Madagascar	3
2.098	71.4514146341463	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	3
7.046	44.4742682926829	Mali	Mali	Mali	3
3.31	57.8447073170732	Myanmar	Myanmar	Myanmar	3
3.786	60.6984146341463	Mongolia	Mongolia	Mongolia	3
1.589	76.4002682926829	Macao SAR, China	Macao SAR, China	Macao SAR, China	3
5.878	56.1267317073171	Mauritania	Mauritania	Mauritania	3
2.04	75.3901951219512	Malta	Malta	Malta	3
2.3	69.9560975609756	Mauritius	Mauritius	Mauritius	3
5.797	61.6763414634146	Maldives	Maldives	Maldives	3
6.652	47.1501463414634	Malawi	Malawi	Malawi	3
3.308	71.1863414634146	Mexico	Mexico	Mexico	3
3.478	70.2958292682927	Malaysia	Malaysia	Malaysia	3
6.194	43.4966829268293	Mozambique	Mozambique	Mozambique	3
5.098	60.8552195121951	Namibia	Namibia	Namibia	3
3.02	70.3585365853659	New Caledonia	New Caledonia	New Caledonia	3
7.803	41.9133170731707	Niger	Niger	Niger	3
6.334	45.5345365853659	Nigeria	Nigeria	Nigeria	3
4.642	64.8876829268293	Nicaragua	Nicaragua	Nicaragua	3
