x	y	label	key	showSelected1	PANEL
6.893	53.7608292682927	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.7	31.8320243902439	Afghanistan	Afghanistan	Afghanistan	3
5.808	64.1623414634146	Albania	Albania	Albania	3
4.435	66.701487804878	Armenia	Armenia	Armenia	3
7.385	33.7870975609756	Angola	Angola	Angola	3
3.089	65.389243902439	Argentina	Argentina	Argentina	3
2.798	69.309512195122	Austria	Austria	Austria	3
3.442	70.9424390243903	Australia	Australia	Australia	3
4.471	66.3655365853659	Aruba	Aruba	Aruba	3
5.591	61.6445853658537	Azerbaijan	Azerbaijan	Azerbaijan	3
3.849	61.5188292682927	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
4.269	65.6108048780488	Barbados	Barbados	Barbados	3
6.79	48.8019024390244	Bangladesh	Bangladesh	Bangladesh	3
2.592	70.219512195122	Belgium	Belgium	Belgium	3
6.344	36.8775609756098	Burkina Faso	Burkina Faso	Burkina Faso	3
2.24	69.4919512195122	Bulgaria	Bulgaria	Bulgaria	3
7.168	54.6219756097561	Bahrain	Bahrain	Bahrain	3
6.801	41.8668780487805	Burundi	Burundi	Burundi	3
6.394	36.179243902439	Benin	Benin	Benin	3
6.448	63.4029756097561	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
6.648	43.2725365853659	Bolivia	Bolivia	Bolivia	3
6.143	55.411756097561	Brazil	Brazil	Brazil	3
4.45	63.9529512195122	Bahamas, The	Bahamas, The	Bahamas, The	3
6.67	37.5782195121951	Bhutan	Bhutan	Bhutan	3
6.649	51.2455365853659	Botswana	Botswana	Botswana	3
2.5	68.8120487804878	Belarus	Belarus	Belarus	3
6.46	61.8984878048781	Belize	Belize	Belize	3
3.681	71.3670731707317	Canada	Canada	Canada	3
6.03	41.451512195122	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.891	37.3187804878049	Central African Republic	Central African Republic	Central African Republic	3
5.967	49.8399756097561	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
2.464	71.1960975609756	Switzerland	Switzerland	Switzerland	3
7.501	40.7545365853659	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
5.463	57.8295609756098	Chile	Chile	Chile	3
5.866	42.4059512195122	Cameroon	Cameroon	Cameroon	3
5.602	44.7041951219512	China	China	China	3
6.776	57.7348536585366	Colombia	Colombia	Colombia	3
7.221	62.7389512195122	Costa Rica	Costa Rica	Costa Rica	3
4.509	64.9006829268293	Cuba	Cuba	Cuba	3
6.953	49.1239512195122	Cape Verde	Cape Verde	Cape Verde	3
3.421	70.2499756097561	Cyprus	Cyprus	Cyprus	3
2.12	69.7868292682927	Czech Republic	Czech Republic	Czech Republic	3
2.44	70.0100975609756	Germany	Germany	Germany	3
7.805	39.4818292682927	Djibouti	Djibouti	Djibouti	3
2.544	72.319756097561	Denmark	Denmark	Denmark	3
7.404	53.232243902439	Dominican Republic	Dominican Republic	Dominican Republic	3
7.364	48.0688536585366	Algeria	Algeria	Algeria	3
6.708	54.3500975609756	Ecuador	Ecuador	Ecuador	3
1.96	69.0655365853658	Estonia	Estonia	Estonia	3
6.584	46.7697073170732	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.84	39.9479756097561	Eritrea	Eritrea	Eritrea	3
2.796	69.5190243902439	Spain	Spain	Spain	3
6.885	39.6971463414634	Ethiopia	Ethiopia	Ethiopia	3
2.637	68.5778048780488	Finland	Finland	Finland	3
6.085	56.8113658536585	Fiji	Fiji	Fiji	3
6.905	58.3835853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
2.89	70.3146341463415	France	France	France	3
4.207	40.3700975609756	Gabon	Gabon	Gabon	3
2.859	70.9268292682927	United Kingdom	United Kingdom	United Kingdom	3
6.442	63.3108292682927	Grenada	Grenada	Grenada	3
2.95	64.2297073170732	Georgia	Georgia	Georgia	3
6.827	46.6138048780488	Ghana	Ghana	Ghana	3
5.672	34.0109756097561	Gambia, The	Gambia, The	Gambia, The	3
