x	y	label	key	showSelected1	PANEL
6.679	61.5878780487805	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
7.7	34.637512195122	Afghanistan	Afghanistan	Afghanistan	3
4.972	66.7384634146342	Albania	Albania	Albania	3
3.314	69.5987073170732	Armenia	Armenia	Armenia	3
7.339	36.6060487804878	Angola	Angola	Angola	3
3.056	66.2933170731707	Argentina	Argentina	Argentina	3
2.496	69.8331707317073	Austria	Austria	Austria	3
2.886	70.9687804878049	Australia	Australia	Australia	3
3.054	68.7284146341464	Aruba	Aruba	Aruba	3
4.753	64.4186829268293	Azerbaijan	Azerbaijan	Azerbaijan	3
2.994	65.4456829268293	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
3.284	68.145	Barbados	Barbados	Barbados	3
6.94	44.3662926829268	Bangladesh	Bangladesh	Bangladesh	3
2.245	70.7648780487805	Belgium	Belgium	Belgium	3
6.593	40.3736829268293	Burkina Faso	Burkina Faso	Burkina Faso	3
2.27	70.43	Bulgaria	Bulgaria	Bulgaria	3
6.69	62.9744634146342	Bahrain	Bahrain	Bahrain	3
6.801	43.5884390243902	Burundi	Burundi	Burundi	3
6.71	39.1287317073171	Benin	Benin	Benin	3
5.731	66.6882195121951	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
6.587	45.4228048780488	Bolivia	Bolivia	Bolivia	3
5.168	58.1863902439024	Brazil	Brazil	Brazil	3
3.571	66.0115853658537	Bahamas, The	Bahamas, The	Bahamas, The	3
6.67	40.1257317073171	Bhutan	Bhutan	Bhutan	3
6.667	53.9278780487805	Botswana	Botswana	Botswana	3
2.26	70.3150487804878	Belarus	Belarus	Belarus	3
6.316	65.5598780487805	Belize	Belize	Belize	3
2.334	72.5014634146341	Canada	Canada	Canada	3
6.187	43.4999268292683	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
5.954	41.2093902439024	Central African Republic	Central African Republic	Central African Republic	3
6.235	53.0775853658537	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
2.123	72.6126829268293	Switzerland	Switzerland	Switzerland	3
7.883	43.1974146341463	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
4.202	61.5472926829268	Chile	Chile	Chile	3
6.168	45.5717804878049	Cameroon	Cameroon	Cameroon	3
5.712	61.4486585365854	China	China	China	3
5.83	60.5027317073171	Colombia	Colombia	Colombia	3
5.324	66.3585609756098	Costa Rica	Costa Rica	Costa Rica	3
4.18	69.1616097560976	Cuba	Cuba	Cuba	3
6.954	51.8530487804878	Cape Verde	Cape Verde	Cape Verde	3
2.686	72.2686829268293	Cyprus	Cyprus	Cyprus	3
1.87	69.3670731707317	Czech Republic	Czech Republic	Czech Republic	3
2.21	70.6126585365854	Germany	Germany	Germany	3
7.494	42.7925609756098	Djibouti	Djibouti	Djibouti	3
2	73.2209756097561	Denmark	Denmark	Denmark	3
6.376	57.8433170731707	Dominican Republic	Dominican Republic	Dominican Republic	3
7.396	52.3027804878049	Algeria	Algeria	Algeria	3
6.376	57.3705365853659	Ecuador	Ecuador	Ecuador	3
2.11	70.0480975609756	Estonia	Estonia	Estonia	3
6.04	49.9655853658537	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
6.637	42.9141951219512	Eritrea	Eritrea	Eritrea	3
2.858	71.0575609756098	Spain	Spain	Spain	3
6.852	42.6379024390244	Ethiopia	Ethiopia	Ethiopia	3
1.851	69.5034146341464	Finland	Finland	Finland	3
4.71	59.5436585365854	Fiji	Fiji	Fiji	3
6.935	61.2115853658537	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
2.62	71.4585365853659	France	France	France	3
4.626	45.7884146341463	Gabon	Gabon	Gabon	3
2.507	71.7219512195122	United Kingdom	United Kingdom	United Kingdom	3
4.69	64.0171219512195	Grenada	Grenada	Grenada	3
2.609	66.8397073170732	Georgia	Georgia	Georgia	3
6.957	48.5126585365854	Ghana	Ghana	Ghana	3
6.043	37.3421463414634	Gambia, The	Gambia, The	Gambia, The	3
6.829	33.612243902439	Guinea	Guinea	Guinea	3
5.671	39.4398780487805	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
2.48	71.422756097561	Greece	Greece	Greece	3
6.259	51.3064878048781	Guatemala	Guatemala	Guatemala	3
4.526	65.4467073170732	Guam	Guam	Guam	3
5.643	36.9428048780488	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
5.784	55.7216097560976	Guyana	Guyana	Guyana	3
3.545	71.0878536585366	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	3
7.334	51.8550975609756	Honduras	Honduras	Honduras	3
2.035	68.6644634146342	Croatia	Croatia	Croatia	3
5.847	46.6991951219512	Haiti	Haiti	Haiti	3
2.029	69.3146341463415	Hungary	Hungary	Hungary	3
5.521	51.1890243902439	Indonesia	Indonesia	Indonesia	3
3.845	70.9151219512195	Ireland	Ireland	Ireland	3
3.782	70.9704878048781	Israel	Israel	Israel	3
5.573	48.4839268292683	India	India	India	3
7.383	57.0212195121951	Iraq	Iraq	Iraq	3
