size	colour	x	y	key	clickSelects	showSelected2	PANEL	fill
2.81246275726886	#00C094	2.906	74.1570487804878	United Arab Emirates	United Arab Emirates	Middle East & North Africa	3	#00C094
4.16704662341744	#A58AFF	7.939	44.7213414634146	Afghanistan	Afghanistan	South Asia	3	#A58AFF
2.8932898052864	#C49A00	2.409	73.1978048780488	Albania	Albania	Europe & Central Asia	3	#C49A00
2.86414342519792	#C49A00	1.762	69.9855365853659	Armenia	Armenia	Europe & Central Asia	3	#C49A00
3.77853255289365	#FB61D7	6.925	43.7143170731707	Angola	Angola	Sub-Saharan Africa	3	#FB61D7
4.94966934476424	#53B400	2.596	73.2864634146342	Argentina	Argentina	Latin America & Caribbean	3	#53B400
3.38534266695357	#C49A00	1.37	77.5731707317073	Austria	Austria	Europe & Central Asia	3	#C49A00
4.12289063701815	#F8766D	1.762	78.6317073170732	Australia	Australia	East Asia & Pacific	3	#F8766D
2.1319118473237	#53B400	1.94	73.6422926829268	Aruba	Aruba	Latin America & Caribbean	3	#53B400
3.37978183572435	#C49A00	2	65.9233658536585	Azerbaijan	Azerbaijan	Europe & Central Asia	3	#C49A00
2.93487200606973	#C49A00	1.487	72.7164878048781	Bosnia and Herzegovina	Bosnia and Herzegovina	Europe & Central Asia	3	#C49A00
2.24562255598083	#53B400	1.614	75.2156341463415	Barbados	Barbados	Latin America & Caribbean	3	#53B400
7.54302853928173	#A58AFF	3.344	63.7219756097561	Bangladesh	Bangladesh	South Asia	3	#A58AFF
3.56710121494931	#C49A00	1.6	77.4731707317073	Belgium	Belgium	Europe & Central Asia	3	#C49A00
3.6248595735071	#FB61D7	6.372	49.6103414634146	Burkina Faso	Burkina Faso	Sub-Saharan Africa	3	#FB61D7
3.40949204007089	#C49A00	1.11	71.0609756097561	Bulgaria	Bulgaria	Europe & Central Asia	3	#C49A00
2.38107818587285	#00C094	2.84	73.5431707317073	Bahrain	Bahrain	Middle East & North Africa	3	#00C094
3.24522263062848	#FB61D7	6.026	45.3384390243903	Burundi	Burundi	Sub-Saharan Africa	3	#FB61D7
