xmin	xmax	key	clickSelects.variable	clickSelects.value	showSelected.variable	showSelected.value	PANEL
2005.5	2006.5	2006 1961	year	2006	year	1961	4
2006.5	2007.5	2007 1961	year	2007	year	1961	4
2007.5	2008.5	2008 1961	year	2008	year	1961	4
2008.5	2009.5	2009 1961	year	2009	year	1961	4
2009.5	2010.5	2010 1961	year	2010	year	1961	4
2010.5	2011.5	2011 1961	year	2011	year	1961	4
1959.5	1960.5	1960 1962	year	1960	year	1962	4
1960.5	1961.5	1961 1962	year	1961	year	1962	4
1961.5	1962.5	1	year	1962	year	1962	4
1962.5	1963.5	1963 1962	year	1963	year	1962	4
1963.5	1964.5	1964 1962	year	1964	year	1962	4
1964.5	1965.5	1965 1962	year	1965	year	1962	4
1965.5	1966.5	1966 1962	year	1966	year	1962	4
1966.5	1967.5	1967 1962	year	1967	year	1962	4
1967.5	1968.5	1968 1962	year	1968	year	1962	4
1968.5	1969.5	1969 1962	year	1969	year	1962	4
1969.5	1970.5	1970 1962	year	1970	year	1962	4
1970.5	1971.5	1971 1962	year	1971	year	1962	4
1971.5	1972.5	1972 1962	year	1972	year	1962	4
1972.5	1973.5	1973 1962	year	1973	year	1962	4
1973.5	1974.5	1974 1962	year	1974	year	1962	4
1974.5	1975.5	1975 1962	year	1975	year	1962	4
1975.5	1976.5	1976 1962	year	1976	year	1962	4
1976.5	1977.5	1977 1962	year	1977	year	1962	4
1977.5	1978.5	1978 1962	year	1978	year	1962	4
1978.5	1979.5	1979 1962	year	1979	year	1962	4
1979.5	1980.5	1980 1962	year	1980	year	1962	4
1980.5	1981.5	1981 1962	year	1981	year	1962	4
1981.5	1982.5	1982 1962	year	1982	year	1962	4
1982.5	1983.5	1983 1962	year	1983	year	1962	4
1983.5	1984.5	1984 1962	year	1984	year	1962	4
1984.5	1985.5	1985 1962	year	1985	year	1962	4
1985.5	1986.5	1986 1962	year	1986	year	1962	4
1986.5	1987.5	1987 1962	year	1987	year	1962	4
1987.5	1988.5	1988 1962	year	1988	year	1962	4
1988.5	1989.5	1989 1962	year	1989	year	1962	4
1989.5	1990.5	1990 1962	year	1990	year	1962	4
1990.5	1991.5	1991 1962	year	1991	year	1962	4
1991.5	1992.5	1992 1962	year	1992	year	1962	4
1992.5	1993.5	1993 1962	year	1993	year	1962	4
1993.5	1994.5	1994 1962	year	1994	year	1962	4
1994.5	1995.5	1995 1962	year	1995	year	1962	4
1995.5	1996.5	1996 1962	year	1996	year	1962	4
1996.5	1997.5	1997 1962	year	1997	year	1962	4
1997.5	1998.5	1998 1962	year	1998	year	1962	4
1998.5	1999.5	1999 1962	year	1999	year	1962	4
1999.5	2000.5	2000 1962	year	2000	year	1962	4
2000.5	2001.5	2001 1962	year	2001	year	1962	4
2001.5	2002.5	2002 1962	year	2002	year	1962	4
2002.5	2003.5	2003 1962	year	2003	year	1962	4
2003.5	2004.5	2004 1962	year	2004	year	1962	4
2004.5	2005.5	2005 1962	year	2005	year	1962	4
2005.5	2006.5	2006 1962	year	2006	year	1962	4
2006.5	2007.5	2007 1962	year	2007	year	1962	4
2007.5	2008.5	2008 1962	year	2008	year	1962	4
2008.5	2009.5	2009 1962	year	2009	year	1962	4
2009.5	2010.5	2010 1962	year	2010	year	1962	4
2010.5	2011.5	2011 1962	year	2011	year	1962	4
1959.5	1960.5	1960 1963	year	1960	year	1963	4
1960.5	1961.5	1961 1963	year	1961	year	1963	4
1961.5	1962.5	1962 1963	year	1962	year	1963	4
1962.5	1963.5	1	year	1963	year	1963	4
1963.5	1964.5	1964 1963	year	1964	year	1963	4
1964.5	1965.5	1965 1963	year	1965	year	1963	4
1965.5	1966.5	1966 1963	year	1966	year	1963	4
1966.5	1967.5	1967 1963	year	1967	year	1963	4
1967.5	1968.5	1968 1963	year	1968	year	1963	4
1968.5	1969.5	1969 1963	year	1969	year	1963	4
1969.5	1970.5	1970 1963	year	1970	year	1963	4
1970.5	1971.5	1971 1963	year	1971	year	1963	4
1971.5	1972.5	1972 1963	year	1972	year	1963	4
1972.5	1973.5	1973 1963	year	1973	year	1963	4
1973.5	1974.5	1974 1963	year	1974	year	1963	4
1974.5	1975.5	1975 1963	year	1975	year	1963	4
1975.5	1976.5	1976 1963	year	1976	year	1963	4
1976.5	1977.5	1977 1963	year	1977	year	1963	4
1977.5	1978.5	1978 1963	year	1978	year	1963	4
1978.5	1979.5	1979 1963	year	1979	year	1963	4
1979.5	1980.5	1980 1963	year	1980	year	1963	4
1980.5	1981.5	1981 1963	year	1981	year	1963	4
1981.5	1982.5	1982 1963	year	1982	year	1963	4
1982.5	1983.5	1983 1963	year	1983	year	1963	4
1983.5	1984.5	1984 1963	year	1984	year	1963	4
1984.5	1985.5	1985 1963	year	1985	year	1963	4
1985.5	1986.5	1986 1963	year	1986	year	1963	4
1986.5	1987.5	1987 1963	year	1987	year	1963	4
1987.5	1988.5	1988 1963	year	1988	year	1963	4
1988.5	1989.5	1989 1963	year	1989	year	1963	4
1989.5	1990.5	1990 1963	year	1990	year	1963	4
1990.5	1991.5	1991 1963	year	1991	year	1963	4
1991.5	1992.5	1992 1963	year	1992	year	1963	4
1992.5	1993.5	1993 1963	year	1993	year	1963	4
1993.5	1994.5	1994 1963	year	1994	year	1963	4
1994.5	1995.5	1995 1963	year	1995	year	1963	4
1995.5	1996.5	1996 1963	year	1996	year	1963	4
1996.5	1997.5	1997 1963	year	1997	year	1963	4
1997.5	1998.5	1998 1963	year	1998	year	1963	4
1998.5	1999.5	1999 1963	year	1999	year	1963	4
1999.5	2000.5	2000 1963	year	2000	year	1963	4
2000.5	2001.5	2001 1963	year	2001	year	1963	4
2001.5	2002.5	2002 1963	year	2002	year	1963	4
2002.5	2003.5	2003 1963	year	2003	year	1963	4
2003.5	2004.5	2004 1963	year	2004	year	1963	4
2004.5	2005.5	2005 1963	year	2005	year	1963	4
2005.5	2006.5	2006 1963	year	2006	year	1963	4
2006.5	2007.5	2007 1963	year	2007	year	1963	4
2007.5	2008.5	2008 1963	year	2008	year	1963	4
2008.5	2009.5	2009 1963	year	2009	year	1963	4
2009.5	2010.5	2010 1963	year	2010	year	1963	4
2010.5	2011.5	2011 1963	year	2011	year	1963	4
1959.5	1960.5	1960 1964	year	1960	year	1964	4
1960.5	1961.5	1961 1964	year	1961	year	1964	4
1961.5	1962.5	1962 1964	year	1962	year	1964	4
1962.5	1963.5	1963 1964	year	1963	year	1964	4
1963.5	1964.5	1	year	1964	year	1964	4
1964.5	1965.5	1965 1964	year	1965	year	1964	4
1965.5	1966.5	1966 1964	year	1966	year	1964	4
1966.5	1967.5	1967 1964	year	1967	year	1964	4
1967.5	1968.5	1968 1964	year	1968	year	1964	4
1968.5	1969.5	1969 1964	year	1969	year	1964	4
1969.5	1970.5	1970 1964	year	1970	year	1964	4
1970.5	1971.5	1971 1964	year	1971	year	1964	4
1971.5	1972.5	1972 1964	year	1972	year	1964	4
1972.5	1973.5	1973 1964	year	1973	year	1964	4
1973.5	1974.5	1974 1964	year	1974	year	1964	4
1974.5	1975.5	1975 1964	year	1975	year	1964	4
1975.5	1976.5	1976 1964	year	1976	year	1964	4
1976.5	1977.5	1977 1964	year	1977	year	1964	4
1977.5	1978.5	1978 1964	year	1978	year	1964	4
1978.5	1979.5	1979 1964	year	1979	year	1964	4
1979.5	1980.5	1980 1964	year	1980	year	1964	4
1980.5	1981.5	1981 1964	year	1981	year	1964	4
1981.5	1982.5	1982 1964	year	1982	year	1964	4
1982.5	1983.5	1983 1964	year	1983	year	1964	4
1983.5	1984.5	1984 1964	year	1984	year	1964	4
1984.5	1985.5	1985 1964	year	1985	year	1964	4
1985.5	1986.5	1986 1964	year	1986	year	1964	4
1986.5	1987.5	1987 1964	year	1987	year	1964	4
1987.5	1988.5	1988 1964	year	1988	year	1964	4
1988.5	1989.5	1989 1964	year	1989	year	1964	4
1989.5	1990.5	1990 1964	year	1990	year	1964	4
1990.5	1991.5	1991 1964	year	1991	year	1964	4
1991.5	1992.5	1992 1964	year	1992	year	1964	4
1992.5	1993.5	1993 1964	year	1993	year	1964	4
1993.5	1994.5	1994 1964	year	1994	year	1964	4
1994.5	1995.5	1995 1964	year	1995	year	1964	4
1995.5	1996.5	1996 1964	year	1996	year	1964	4
1996.5	1997.5	1997 1964	year	1997	year	1964	4
1997.5	1998.5	1998 1964	year	1998	year	1964	4
1998.5	1999.5	1999 1964	year	1999	year	1964	4
1999.5	2000.5	2000 1964	year	2000	year	1964	4
2000.5	2001.5	2001 1964	year	2001	year	1964	4
2001.5	2002.5	2002 1964	year	2002	year	1964	4
2002.5	2003.5	2003 1964	year	2003	year	1964	4
2003.5	2004.5	2004 1964	year	2004	year	1964	4
2004.5	2005.5	2005 1964	year	2005	year	1964	4
2005.5	2006.5	2006 1964	year	2006	year	1964	4
2006.5	2007.5	2007 1964	year	2007	year	1964	4
2007.5	2008.5	2008 1964	year	2008	year	1964	4
2008.5	2009.5	2009 1964	year	2009	year	1964	4
2009.5	2010.5	2010 1964	year	2010	year	1964	4
2010.5	2011.5	2011 1964	year	2011	year	1964	4
1959.5	1960.5	1960 1965	year	1960	year	1965	4
1960.5	1961.5	1961 1965	year	1961	year	1965	4
1961.5	1962.5	1962 1965	year	1962	year	1965	4
1962.5	1963.5	1963 1965	year	1963	year	1965	4
1963.5	1964.5	1964 1965	year	1964	year	1965	4
1964.5	1965.5	1	year	1965	year	1965	4
1965.5	1966.5	1966 1965	year	1966	year	1965	4
1966.5	1967.5	1967 1965	year	1967	year	1965	4
1967.5	1968.5	1968 1965	year	1968	year	1965	4
1968.5	1969.5	1969 1965	year	1969	year	1965	4
1969.5	1970.5	1970 1965	year	1970	year	1965	4
1970.5	1971.5	1971 1965	year	1971	year	1965	4
1971.5	1972.5	1972 1965	year	1972	year	1965	4
1972.5	1973.5	1973 1965	year	1973	year	1965	4
1973.5	1974.5	1974 1965	year	1974	year	1965	4
1974.5	1975.5	1975 1965	year	1975	year	1965	4
1975.5	1976.5	1976 1965	year	1976	year	1965	4
1976.5	1977.5	1977 1965	year	1977	year	1965	4
1977.5	1978.5	1978 1965	year	1978	year	1965	4
1978.5	1979.5	1979 1965	year	1979	year	1965	4
1979.5	1980.5	1980 1965	year	1980	year	1965	4
1980.5	1981.5	1981 1965	year	1981	year	1965	4
1981.5	1982.5	1982 1965	year	1982	year	1965	4
1982.5	1983.5	1983 1965	year	1983	year	1965	4
1983.5	1984.5	1984 1965	year	1984	year	1965	4
1984.5	1985.5	1985 1965	year	1985	year	1965	4
1985.5	1986.5	1986 1965	year	1986	year	1965	4
1986.5	1987.5	1987 1965	year	1987	year	1965	4
1987.5	1988.5	1988 1965	year	1988	year	1965	4
1988.5	1989.5	1989 1965	year	1989	year	1965	4
1989.5	1990.5	1990 1965	year	1990	year	1965	4
1990.5	1991.5	1991 1965	year	1991	year	1965	4
1991.5	1992.5	1992 1965	year	1992	year	1965	4
1992.5	1993.5	1993 1965	year	1993	year	1965	4
1993.5	1994.5	1994 1965	year	1994	year	1965	4
1994.5	1995.5	1995 1965	year	1995	year	1965	4
1995.5	1996.5	1996 1965	year	1996	year	1965	4
1996.5	1997.5	1997 1965	year	1997	year	1965	4
1997.5	1998.5	1998 1965	year	1998	year	1965	4
1998.5	1999.5	1999 1965	year	1999	year	1965	4
1999.5	2000.5	2000 1965	year	2000	year	1965	4
2000.5	2001.5	2001 1965	year	2001	year	1965	4
2001.5	2002.5	2002 1965	year	2002	year	1965	4
2002.5	2003.5	2003 1965	year	2003	year	1965	4
2003.5	2004.5	2004 1965	year	2004	year	1965	4
2004.5	2005.5	2005 1965	year	2005	year	1965	4
2005.5	2006.5	2006 1965	year	2006	year	1965	4
2006.5	2007.5	2007 1965	year	2007	year	1965	4
2007.5	2008.5	2008 1965	year	2008	year	1965	4
2008.5	2009.5	2009 1965	year	2009	year	1965	4
2009.5	2010.5	2010 1965	year	2010	year	1965	4
2010.5	2011.5	2011 1965	year	2011	year	1965	4
1959.5	1960.5	1960 1966	year	1960	year	1966	4
1960.5	1961.5	1961 1966	year	1961	year	1966	4
1961.5	1962.5	1962 1966	year	1962	year	1966	4
1962.5	1963.5	1963 1966	year	1963	year	1966	4
1963.5	1964.5	1964 1966	year	1964	year	1966	4
1964.5	1965.5	1965 1966	year	1965	year	1966	4
1965.5	1966.5	1	year	1966	year	1966	4
1966.5	1967.5	1967 1966	year	1967	year	1966	4
1967.5	1968.5	1968 1966	year	1968	year	1966	4
1968.5	1969.5	1969 1966	year	1969	year	1966	4
1969.5	1970.5	1970 1966	year	1970	year	1966	4
1970.5	1971.5	1971 1966	year	1971	year	1966	4
1971.5	1972.5	1972 1966	year	1972	year	1966	4
1972.5	1973.5	1973 1966	year	1973	year	1966	4
1973.5	1974.5	1974 1966	year	1974	year	1966	4
1974.5	1975.5	1975 1966	year	1975	year	1966	4
1975.5	1976.5	1976 1966	year	1976	year	1966	4
1976.5	1977.5	1977 1966	year	1977	year	1966	4
1977.5	1978.5	1978 1966	year	1978	year	1966	4
1978.5	1979.5	1979 1966	year	1979	year	1966	4
1979.5	1980.5	1980 1966	year	1980	year	1966	4
1980.5	1981.5	1981 1966	year	1981	year	1966	4
1981.5	1982.5	1982 1966	year	1982	year	1966	4
1982.5	1983.5	1983 1966	year	1983	year	1966	4
1983.5	1984.5	1984 1966	year	1984	year	1966	4
1984.5	1985.5	1985 1966	year	1985	year	1966	4
1985.5	1986.5	1986 1966	year	1986	year	1966	4
1986.5	1987.5	1987 1966	year	1987	year	1966	4
1987.5	1988.5	1988 1966	year	1988	year	1966	4
1988.5	1989.5	1989 1966	year	1989	year	1966	4
1989.5	1990.5	1990 1966	year	1990	year	1966	4
1990.5	1991.5	1991 1966	year	1991	year	1966	4
1991.5	1992.5	1992 1966	year	1992	year	1966	4
1992.5	1993.5	1993 1966	year	1993	year	1966	4
1993.5	1994.5	1994 1966	year	1994	year	1966	4
1994.5	1995.5	1995 1966	year	1995	year	1966	4
1995.5	1996.5	1996 1966	year	1996	year	1966	4
1996.5	1997.5	1997 1966	year	1997	year	1966	4
1997.5	1998.5	1998 1966	year	1998	year	1966	4
1998.5	1999.5	1999 1966	year	1999	year	1966	4
1999.5	2000.5	2000 1966	year	2000	year	1966	4
2000.5	2001.5	2001 1966	year	2001	year	1966	4
2001.5	2002.5	2002 1966	year	2002	year	1966	4
2002.5	2003.5	2003 1966	year	2003	year	1966	4
2003.5	2004.5	2004 1966	year	2004	year	1966	4
2004.5	2005.5	2005 1966	year	2005	year	1966	4
2005.5	2006.5	2006 1966	year	2006	year	1966	4
2006.5	2007.5	2007 1966	year	2007	year	1966	4
2007.5	2008.5	2008 1966	year	2008	year	1966	4
2008.5	2009.5	2009 1966	year	2009	year	1966	4
2009.5	2010.5	2010 1966	year	2010	year	1966	4
2010.5	2011.5	2011 1966	year	2011	year	1966	4
1959.5	1960.5	1960 1967	year	1960	year	1967	4
1960.5	1961.5	1961 1967	year	1961	year	1967	4
1961.5	1962.5	1962 1967	year	1962	year	1967	4
1962.5	1963.5	1963 1967	year	1963	year	1967	4
1963.5	1964.5	1964 1967	year	1964	year	1967	4
1964.5	1965.5	1965 1967	year	1965	year	1967	4
1965.5	1966.5	1966 1967	year	1966	year	1967	4
1966.5	1967.5	1	year	1967	year	1967	4
1967.5	1968.5	1968 1967	year	1968	year	1967	4
1968.5	1969.5	1969 1967	year	1969	year	1967	4
1969.5	1970.5	1970 1967	year	1970	year	1967	4
1970.5	1971.5	1971 1967	year	1971	year	1967	4
1971.5	1972.5	1972 1967	year	1972	year	1967	4
1972.5	1973.5	1973 1967	year	1973	year	1967	4
1973.5	1974.5	1974 1967	year	1974	year	1967	4
1974.5	1975.5	1975 1967	year	1975	year	1967	4
1975.5	1976.5	1976 1967	year	1976	year	1967	4
1976.5	1977.5	1977 1967	year	1977	year	1967	4
1977.5	1978.5	1978 1967	year	1978	year	1967	4
1978.5	1979.5	1979 1967	year	1979	year	1967	4
1979.5	1980.5	1980 1967	year	1980	year	1967	4
1980.5	1981.5	1981 1967	year	1981	year	1967	4
1981.5	1982.5	1982 1967	year	1982	year	1967	4
1982.5	1983.5	1983 1967	year	1983	year	1967	4
1983.5	1984.5	1984 1967	year	1984	year	1967	4
1984.5	1985.5	1985 1967	year	1985	year	1967	4
1985.5	1986.5	1986 1967	year	1986	year	1967	4
1986.5	1987.5	1987 1967	year	1987	year	1967	4
1987.5	1988.5	1988 1967	year	1988	year	1967	4
1988.5	1989.5	1989 1967	year	1989	year	1967	4
1989.5	1990.5	1990 1967	year	1990	year	1967	4
1990.5	1991.5	1991 1967	year	1991	year	1967	4
1991.5	1992.5	1992 1967	year	1992	year	1967	4
1992.5	1993.5	1993 1967	year	1993	year	1967	4
1993.5	1994.5	1994 1967	year	1994	year	1967	4
1994.5	1995.5	1995 1967	year	1995	year	1967	4
1995.5	1996.5	1996 1967	year	1996	year	1967	4
1996.5	1997.5	1997 1967	year	1997	year	1967	4
1997.5	1998.5	1998 1967	year	1998	year	1967	4
1998.5	1999.5	1999 1967	year	1999	year	1967	4
1999.5	2000.5	2000 1967	year	2000	year	1967	4
2000.5	2001.5	2001 1967	year	2001	year	1967	4
2001.5	2002.5	2002 1967	year	2002	year	1967	4
2002.5	2003.5	2003 1967	year	2003	year	1967	4
2003.5	2004.5	2004 1967	year	2004	year	1967	4
2004.5	2005.5	2005 1967	year	2005	year	1967	4
2005.5	2006.5	2006 1967	year	2006	year	1967	4
2006.5	2007.5	2007 1967	year	2007	year	1967	4
2007.5	2008.5	2008 1967	year	2008	year	1967	4
2008.5	2009.5	2009 1967	year	2009	year	1967	4
2009.5	2010.5	2010 1967	year	2010	year	1967	4
2010.5	2011.5	2011 1967	year	2011	year	1967	4
1959.5	1960.5	1960 1968	year	1960	year	1968	4
1960.5	1961.5	1961 1968	year	1961	year	1968	4
1961.5	1962.5	1962 1968	year	1962	year	1968	4
1962.5	1963.5	1963 1968	year	1963	year	1968	4
1963.5	1964.5	1964 1968	year	1964	year	1968	4
1964.5	1965.5	1965 1968	year	1965	year	1968	4
1965.5	1966.5	1966 1968	year	1966	year	1968	4
1966.5	1967.5	1967 1968	year	1967	year	1968	4
1967.5	1968.5	1	year	1968	year	1968	4
1968.5	1969.5	1969 1968	year	1969	year	1968	4
1969.5	1970.5	1970 1968	year	1970	year	1968	4
1970.5	1971.5	1971 1968	year	1971	year	1968	4
1971.5	1972.5	1972 1968	year	1972	year	1968	4
1972.5	1973.5	1973 1968	year	1973	year	1968	4
1973.5	1974.5	1974 1968	year	1974	year	1968	4
1974.5	1975.5	1975 1968	year	1975	year	1968	4
1975.5	1976.5	1976 1968	year	1976	year	1968	4
1976.5	1977.5	1977 1968	year	1977	year	1968	4
1977.5	1978.5	1978 1968	year	1978	year	1968	4
1978.5	1979.5	1979 1968	year	1979	year	1968	4
1979.5	1980.5	1980 1968	year	1980	year	1968	4
1980.5	1981.5	1981 1968	year	1981	year	1968	4
1981.5	1982.5	1982 1968	year	1982	year	1968	4
1982.5	1983.5	1983 1968	year	1983	year	1968	4
1983.5	1984.5	1984 1968	year	1984	year	1968	4
1984.5	1985.5	1985 1968	year	1985	year	1968	4
1985.5	1986.5	1986 1968	year	1986	year	1968	4
1986.5	1987.5	1987 1968	year	1987	year	1968	4
1987.5	1988.5	1988 1968	year	1988	year	1968	4
1988.5	1989.5	1989 1968	year	1989	year	1968	4
1989.5	1990.5	1990 1968	year	1990	year	1968	4
1990.5	1991.5	1991 1968	year	1991	year	1968	4
1991.5	1992.5	1992 1968	year	1992	year	1968	4
1992.5	1993.5	1993 1968	year	1993	year	1968	4
1993.5	1994.5	1994 1968	year	1994	year	1968	4
1994.5	1995.5	1995 1968	year	1995	year	1968	4
1995.5	1996.5	1996 1968	year	1996	year	1968	4
1996.5	1997.5	1997 1968	year	1997	year	1968	4
1997.5	1998.5	1998 1968	year	1998	year	1968	4
1998.5	1999.5	1999 1968	year	1999	year	1968	4
1999.5	2000.5	2000 1968	year	2000	year	1968	4
2000.5	2001.5	2001 1968	year	2001	year	1968	4
2001.5	2002.5	2002 1968	year	2002	year	1968	4
2002.5	2003.5	2003 1968	year	2003	year	1968	4
2003.5	2004.5	2004 1968	year	2004	year	1968	4
2004.5	2005.5	2005 1968	year	2005	year	1968	4
2005.5	2006.5	2006 1968	year	2006	year	1968	4
2006.5	2007.5	2007 1968	year	2007	year	1968	4
2007.5	2008.5	2008 1968	year	2008	year	1968	4
2008.5	2009.5	2009 1968	year	2009	year	1968	4
2009.5	2010.5	2010 1968	year	2010	year	1968	4
2010.5	2011.5	2011 1968	year	2011	year	1968	4
1959.5	1960.5	1960 1969	year	1960	year	1969	4
1960.5	1961.5	1961 1969	year	1961	year	1969	4
1961.5	1962.5	1962 1969	year	1962	year	1969	4
1962.5	1963.5	1963 1969	year	1963	year	1969	4
1963.5	1964.5	1964 1969	year	1964	year	1969	4
1964.5	1965.5	1965 1969	year	1965	year	1969	4
1965.5	1966.5	1966 1969	year	1966	year	1969	4
1966.5	1967.5	1967 1969	year	1967	year	1969	4
1967.5	1968.5	1968 1969	year	1968	year	1969	4
1968.5	1969.5	1	year	1969	year	1969	4
1969.5	1970.5	1970 1969	year	1970	year	1969	4
1970.5	1971.5	1971 1969	year	1971	year	1969	4
1971.5	1972.5	1972 1969	year	1972	year	1969	4
1972.5	1973.5	1973 1969	year	1973	year	1969	4
1973.5	1974.5	1974 1969	year	1974	year	1969	4
1974.5	1975.5	1975 1969	year	1975	year	1969	4
1975.5	1976.5	1976 1969	year	1976	year	1969	4
1976.5	1977.5	1977 1969	year	1977	year	1969	4
1977.5	1978.5	1978 1969	year	1978	year	1969	4
1978.5	1979.5	1979 1969	year	1979	year	1969	4
1979.5	1980.5	1980 1969	year	1980	year	1969	4
1980.5	1981.5	1981 1969	year	1981	year	1969	4
1981.5	1982.5	1982 1969	year	1982	year	1969	4
1982.5	1983.5	1983 1969	year	1983	year	1969	4
1983.5	1984.5	1984 1969	year	1984	year	1969	4
1984.5	1985.5	1985 1969	year	1985	year	1969	4
1985.5	1986.5	1986 1969	year	1986	year	1969	4
1986.5	1987.5	1987 1969	year	1987	year	1969	4
1987.5	1988.5	1988 1969	year	1988	year	1969	4
1988.5	1989.5	1989 1969	year	1989	year	1969	4
