x	y	label	key	showSelected1	PANEL
1.989	75.8518048780488	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
6.843	46.8990975609756	Afghanistan	Afghanistan	Afghanistan	3
1.692	76.3096341463415	Albania	Albania	Albania	3
1.728	73.1342195121951	Armenia	Armenia	Armenia	3
6.066	49.0071463414634	Angola	Angola	Angola	3
2.269	74.9314390243902	Argentina	Argentina	Argentina	3
1.41	79.8317073170732	Austria	Austria	Austria	3
1.883	81.0414634146342	Australia	Australia	Australia	3
1.755	74.3741463414634	Aruba	Aruba	Aruba	3
1.97	69.3614146341463	Azerbaijan	Azerbaijan	Azerbaijan	3
1.194	74.8343658536585	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.508	76.0085609756098	Barbados	Barbados	Barbados	3
2.509	67.3100731707317	Bangladesh	Bangladesh	Bangladesh	3
1.8	79.380487804878	Belgium	Belgium	Belgium	3
5.998	52.9579024390244	Burkina Faso	Burkina Faso	Burkina Faso	3
1.38	72.6121951219512	Bulgaria	Bulgaria	Bulgaria	3
2.616	74.5078292682927	Bahrain	Bahrain	Bahrain	3
4.88	48.1388780487805	Burundi	Burundi	Burundi	3
5.577	54.1066829268293	Benin	Benin	Benin	3
1.7544	78.7190731707317	Bermuda	Bermuda	Bermuda	3
2.148	77.3806097560976	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
3.634	65.0302195121951	Bolivia	Bolivia	Bolivia	3
2.002	71.8109268292683	Brazil	Brazil	Brazil	3
1.862	73.9919268292683	Bahamas, The	Bahamas, The	Bahamas, The	3
2.785	65.3423902439025	Bhutan	Bhutan	Bhutan	3
2.963	51.2843170731707	Botswana	Botswana	Botswana	3
1.287	69.4048780487805	Belarus	Belarus	Belarus	3
3.044	74.827	Belize	Belize	Belize	3
1.5862	80.6439024390244	Canada	Canada	Canada	3
6.281	47.168756097561	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
4.996	44.867512195122	Central African Republic	Central African Republic	Central African Republic	3
4.706	55.4014390243903	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.44	81.490243902439	Switzerland	Switzerland	Switzerland	3
4.777	52.1183658536585	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
1.92	78.4158536585366	Chile	Chile	Chile	3
4.756	49.5611707317073	Cameroon	Cameroon	Cameroon	3
1.656	72.3897317073171	China	China	China	3
2.475	72.518756097561	Colombia	Colombia	Colombia	3
2.007	78.6950731707317	Costa Rica	Costa Rica	Costa Rica	3
1.545	77.9931951219512	Cuba	Cuba	Cuba	3
2.772	72.6103414634146	Cape Verde	Cape Verde	Cape Verde	3
2.1	74.709756097561	Curacao	Curacao	Curacao	3
1.514	78.7087317073171	Cyprus	Cyprus	Cyprus	3
1.33	76.5243902439024	Czech Republic	Czech Republic	Czech Republic	3
1.33	79.1317073170732	Germany	Germany	Germany	3
4.106	55.9528536585366	Djibouti	Djibouti	Djibouti	3
1.85	78.0951219512195	Denmark	Denmark	Denmark	3
2.72	72.2879268292683	Dominican Republic	Dominican Republic	Dominican Republic	3
2.415	71.9052926829268	Algeria	Algeria	Algeria	3
2.644	74.8578292682927	Ecuador	Ecuador	Ecuador	3
1.55	72.6914634146341	Estonia	Estonia	Estonia	3
2.931	71.8789756097561	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
4.831	59.1577317073171	Eritrea	Eritrea	Eritrea	3
1.37	80.8219512195122	Spain	Spain	Spain	3
4.893	55.9515609756098	Ethiopia	Ethiopia	Ethiopia	3
1.84	79.2146341463415	Finland	Finland	Finland	3
2.816	68.6791951219512	Fiji	Fiji	Fiji	3
3.74	68.0591707317073	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
2	80.5146341463415	France	France	France	3
3.453	60.4271707317073	Gabon	Gabon	Gabon	3
1.84	79.2487804878049	United Kingdom	United Kingdom	United Kingdom	3
2.322	74.962756097561	Grenada	Grenada	Grenada	3
1.572	72.7142439024391	Georgia	Georgia	Georgia	3
4.402	61.6813658536585	Ghana	Ghana	Ghana	3
5.208	56.9266585365854	Gambia, The	Gambia, The	Gambia, The	3
5.557	51.6733658536585	Guinea	Guinea	Guinea	3
5.454	49.665512195122	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
1.4	79.4390243902439	Greece	Greece	Greece	3
4.282	69.8947317073171	Guatemala	Guatemala	Guatemala	3
2.591	75.2823902439024	Guam	Guam	Guam	3
5.383	46.3619756097561	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
2.362	67.8472195121951	Guyana	Guyana	Guyana	3
0.984	82.3756097560976	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	3
3.414	71.6898292682927	Honduras	Honduras	Honduras	3
1.38	75.8368292682927	Croatia	Croatia	Croatia	3
3.665	60.2810731707317	Haiti	Haiti	Haiti	3
1.34	73.0975609756098	Hungary	Hungary	Hungary	3
2.246	67.3768292682927	Indonesia	Indonesia	Indonesia	3
1.93	78.7604878048781	Ireland	Ireland	Ireland	3
2.88	85.1634146341463	Israel	Israel	Israel	3
2.785	63.7168048780488	India	India	India	3
4.943	68.0718048780488	Iraq	Iraq	Iraq	3
1.79	71.6384634146341	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	3
2.08	81.1585365853659	Iceland	Iceland	Iceland	3
1.35	81.1317073170732	Italy	Italy	Italy	3
1.414	79.0829024390244	Channel Islands	Channel Islands	Channel Islands	3
2.443	71.7560731707317	Jamaica	Jamaica	Jamaica	3
3.7	72.763512195122	Jordan	Jordan	Jordan	3
1.32	82.3219512195122	Japan	Japan	Japan	3
4.869	53.6621951219512	Kenya	Kenya	Kenya	3
2.7	67.6951219512195	Kyrgyz Republic	Kyrgyz Republic	Kyrgyz Republic	3
2.944	60.5283170731707	Cambodia	Cambodia	Cambodia	3
5.168	59.2370731707317	Comoros	Comoros	Comoros	3
2.042	68.3080243902439	Korea, Dem. Rep.	Korea, Dem. Rep.	Korea, Dem. Rep.	3
1.123	78.9692682926829	Korea, Rep.	Korea, Rep.	Korea, Rep.	3
2.4252	68.9368292682927	Kosovo	Kosovo	Kosovo	3
2.251	74.1919024390244	Kuwait	Kuwait	Kuwait	3
2.36	66.1609756097561	Kazakhstan	Kazakhstan	Kazakhstan	3
3.178	65.080512195122	Lao PDR	Lao PDR	Lao PDR	3
1.896	71.6764146341463	Lebanon	Lebanon	Lebanon	3
2.035	73.4165365853658	St. Lucia	St. Lucia	St. Lucia	3
2.345	74.1826341463415	Sri Lanka	Sri Lanka	Sri Lanka	3
5.507	52.9628292682927	Liberia	Liberia	Liberia	3
3.481	44.5901219512195	Lesotho	Lesotho	Lesotho	3
1.31	71.0560975609756	Lithuania	Lithuania	Lithuania	3
1.65	79.2878048780488	Luxembourg	Luxembourg	Luxembourg	3
1.35	70.8658536585366	Latvia	Latvia	Latvia	3
2.81	73.8693658536585	Libya	Libya	Libya	3
2.4	70.7235365853659	Morocco	Morocco	Morocco	3
1.488	67.9386829268293	Moldova	Moldova	Moldova	3
1.718	73.9623658536585	Montenegro	Montenegro	Montenegro	3
4.953	64.8014390243902	Madagascar	Madagascar	Madagascar	3
1.478	73.9169268292683	Macedonia, FYR	Macedonia, FYR	Macedonia, FYR	3
6.545	49.311243902439	Mali	Mali	Mali	3
2.109	63.1112195121951	Myanmar	Myanmar	Myanmar	3
2.347	66.5792682926829	Mongolia	Mongolia	Mongolia	3
0.926	79.7915853658537	Macao SAR, China	Macao SAR, China	Macao SAR, China	3
4.807	57.3261951219512	Mauritania	Mauritania	Mauritania	3
1.39	78.5487804878049	Malta	Malta	Malta	3
1.7	72.4321951219512	Mauritius	Mauritius	Mauritius	3
2.027	74.9126829268293	Maldives	Maldives	Maldives	3
6.001	49.8891463414634	Malawi	Malawi	Malawi	3
2.455	75.7499756097561	Mexico	Mexico	Mexico	3
2.784	73.1666097560976	Malaysia	Malaysia	Malaysia	3
5.24	48.2651463414634	Mozambique	Mozambique	Mozambique	3
3.513	59.3742682926829	Namibia	Namibia	Namibia	3
2.29	76.4609756097561	New Caledonia	New Caledonia	New Caledonia	3
7.258	52.2652682926829	Niger	Niger	Niger	3
5.665	49.5106585365854	Nigeria	Nigeria	Nigeria	3
2.803	72.3791951219512	Nicaragua	Nicaragua	Nicaragua	3
1.72	79.6975609756098	Netherlands	Netherlands	Netherlands	3
1.9	80.3439024390244	Norway	Norway	Norway	3
3.171	66.3151463414634	Nepal	Nepal	Nepal	3
2	80.0487804878049	New Zealand	New Zealand	New Zealand	3
2.586	73.3175853658537	Oman	Oman	Oman	3
2.606	75.2922195121951	Panama	Panama	Panama	3
2.651	72.7721951219512	Peru	Peru	Peru	3
2.209	74.2494146341463	French Polynesia	French Polynesia	French Polynesia	3
4.175	60.9445609756098	Papua New Guinea	Papua New Guinea	Papua New Guinea	3
3.404	67.6	Philippines	Philippines	Philippines	3
3.714	64.2974390243903	Pakistan	Pakistan	Pakistan	3
1.27	75.1439024390244	Poland	Poland	Poland	3
1.7123	78.4163414634146	Puerto Rico	Puerto Rico	Puerto Rico	3
4.742	71.9189268292683	West Bank and Gaza	West Bank and Gaza	West Bank and Gaza	3
1.36	78.419512195122	Portugal	Portugal	Portugal	3
3.192	71.4571707317073	Paraguay	Paraguay	Paraguay	3
2.587	77.4284878048781	Qatar	Qatar	Qatar	3
1.32	72.1634146341463	Romania	Romania	Romania	3
1.43	73.1551219512195	Serbia	Serbia	Serbia	3
1.3	66.6431707317073	Russian Federation	Russian Federation	Russian Federation	3
5.466	53.0063902439024	Rwanda	Rwanda	Rwanda	3
3.138	72.9158292682927	Saudi Arabia	Saudi Arabia	Saudi Arabia	3
4.46	65.8927317073171	Solomon Islands	Solomon Islands	Solomon Islands	3
2.1	72.2170731707317	Seychelles	Seychelles	Seychelles	3
4.765	59.8764390243903	Sudan	Sudan	Sudan	3
1.85	80.7487804878049	Sweden	Sweden	Sweden	3
1.28	80.1414634146341	Singapore	Singapore	Singapore	3
1.31	78.0865853658537	Slovenia	Slovenia	Slovenia	3
1.24	74.2048780487805	Slovak Republic	Slovak Republic	Slovak Republic	3
5.331	45.0730243902439	Sierra Leone	Sierra Leone	Sierra Leone	3
5.123	57.6678780487805	Senegal	Senegal	Senegal	3
6.437	50.0380975609756	Somalia	Somalia	Somalia	3
2.466	69.1536829268293	Suriname	Suriname	Suriname	3
3.995	63.4161219512195	Sao Tome and Principe	Sao Tome and Principe	Sao Tome and Principe	3
2.387	70.9004878048781	El Salvador	El Salvador	El Salvador	3
3.173	75.0969024390244	Syrian Arab Republic	Syrian Arab Republic	Syrian Arab Republic	3
