x	y	label	key	showSelected1	PANEL
1.749	76.5736097560976	United Arab Emirates	United Arab Emirates	United Arab Emirates	3
6.288	48.2821951219512	Afghanistan	Afghanistan	Afghanistan	3
1.536	76.9009512195122	Albania	Albania	Albania	3
1.736	73.7835609756098	Armenia	Armenia	Armenia	3
5.443	50.6536585365854	Angola	Angola	Angola	3
2.211	75.6321463414634	Argentina	Argentina	Argentina	3
1.44	80.3829268292683	Austria	Austria	Austria	3
1.87	81.6951219512195	Australia	Australia	Australia	3
1.699	74.9751707317073	Aruba	Aruba	Aruba	3
1.92	70.5065121951219	Azerbaijan	Azerbaijan	Azerbaijan	3
1.148	75.4004390243903	Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	3
1.551	76.5728292682927	Barbados	Barbados	Barbados	3
2.245	68.6348048780488	Bangladesh	Bangladesh	Bangladesh	3
1.84	80.2341463414634	Belgium	Belgium	Belgium	3
5.85	54.9241951219512	Burkina Faso	Burkina Faso	Burkina Faso	3
1.49	73.5121951219512	Bulgaria	Bulgaria	Bulgaria	3
2.54	75.0238292682927	Bahrain	Bahrain	Bahrain	3
4.338	49.8772195121951	Burundi	Burundi	Burundi	3
5.287	55.5855853658537	Benin	Benin	Benin	3
1.764	79.2885365853658	Bermuda	Bermuda	Bermuda	3
2.042	77.9320243902439	Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	3
3.348	66.2685609756098	Bolivia	Bolivia	Bolivia	3
1.83	73.0995365853658	Brazil	Brazil	Brazil	3
1.896	75.2221219512195	Bahamas, The	Bahamas, The	Bahamas, The	3
2.399	66.9088536585366	Bhutan	Bhutan	Bhutan	3
2.75	53.109512195122	Botswana	Botswana	Botswana	3
1.44	70.4048780487805	Belarus	Belarus	Belarus	3
2.79	75.8399512195122	Belize	Belize	Belize	3
1.6269	80.7978048780488	Canada	Canada	Canada	3
5.775	48.0695853658537	Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	3
4.631	47.6184634146341	Central African Republic	Central African Republic	Central African Republic	3
4.544	56.9601951219512	Congo, Rep.	Congo, Rep.	Congo, Rep.	3
1.52	82.2463414634147	Switzerland	Switzerland	Switzerland	3
4.432	54.7415609756098	Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	3
1.862	78.8857317073171	Chile	Chile	Chile	3
4.487	51.062756097561	Cameroon	Cameroon	Cameroon	3
1.598	73.2730975609756	China	China	China	3
2.1	73.4296829268293	Colombia	Colombia	Colombia	3
1.848	79.1926097560976	Costa Rica	Costa Rica	Costa Rica	3
1.467	78.9641463414634	Cuba	Cuba	Cuba	3
2.405	73.7740487804878	Cape Verde	Cape Verde	Cape Verde	3
1.476	79.3803902439025	Cyprus	Cyprus	Cyprus	3
1.49	77.4243902439025	Czech Republic	Czech Republic	Czech Republic	3
1.39	79.9878048780488	Germany	Germany	Germany	3
3.75	57.5273902439024	Djibouti	Djibouti	Djibouti	3
1.87	79.1	Denmark	Denmark	Denmark	3
2.58	73.2000243902439	Dominican Republic	Dominican Republic	Dominican Republic	3
2.264	72.8525365853659	Algeria	Algeria	Algeria	3
2.479	75.4622926829268	Ecuador	Ecuador	Ecuador	3
1.63	75.4292682926829	Estonia	Estonia	Estonia	3
2.733	72.9752682926829	Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	3
4.453	60.9941951219512	Eritrea	Eritrea	Eritrea	3
1.38	81.6268292682927	Spain	Spain	Spain	3
4.193	58.7150975609756	Ethiopia	Ethiopia	Ethiopia	3
1.87	79.8707317073171	Finland	Finland	Finland	3
2.668	69.2258292682927	Fiji	Fiji	Fiji	3
3.451	68.7648292682927	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	3
2.03	81.3682926829268	France	France	France	3
3.25	62.2866829268293	Gabon	Gabon	Gabon	3
1.98	80.4024390243902	United Kingdom	United Kingdom	United Kingdom	3
2.235	75.6604390243903	Grenada	Grenada	Grenada	3
1.555	73.3273414634146	Georgia	Georgia	Georgia	3
4.17	63.8372682926829	Ghana	Ghana	Ghana	3
2.2	70.2390243902439	Greenland	Greenland	Greenland	3
4.896	58.1600243902439	Gambia, The	Gambia, The	Gambia, The	3
5.246	53.6385853658537	Guinea	Guinea	Guinea	3
5.185	50.8408048780488	Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	3
1.51	80.3878048780488	Greece	Greece	Greece	3
3.983	70.8254146341463	Guatemala	Guatemala	Guatemala	3
2.47	75.9942682926829	Guam	Guam	Guam	3
5.063	47.7006585365854	Guinea-Bissau	Guinea-Bissau	Guinea-Bissau	3
2.262	69.5491463414634	Guyana	Guyana	Guyana	3
1.127	82.9780487804878	Hong Kong SAR, China	Hong Kong SAR, China	Hong Kong SAR, China	3
3.139	72.8259268292683	Honduras	Honduras	Honduras	3
1.46	76.4756097560976	Croatia	Croatia	Croatia	3
3.34	61.763	Haiti	Haiti	Haiti	3
1.25	74.2073170731707	Hungary	Hungary	Hungary	3
2.117	68.8896585365854	Indonesia	Indonesia	Indonesia	3
2.07	80.8951219512195	Ireland	Ireland	Ireland	3
3.03	81.6024390243903	Israel	Israel	Israel	3
2.625	65.1313414634146	India	India	India	3
4.702	68.4860487804878	Iraq	Iraq	Iraq	3
1.67	72.7518536585366	Iran, Islamic Rep.	Iran, Islamic Rep.	Iran, Islamic Rep.	3
2.2	81.8975609756098	Iceland	Iceland	Iceland	3
1.41	81.7365853658537	Italy	Italy	Italy	3
1.46	79.832	Channel Islands	Channel Islands	Channel Islands	3
2.329	72.8471219512195	Jamaica	Jamaica	Jamaica	3
3.8	73.2896585365854	Jordan	Jordan	Jordan	3
1.39	82.8426829268293	Japan	Japan	Japan	3
4.718	56.4970731707317	Kenya	Kenya	Kenya	3
